Length(cm),Mass(g)
13.46,104.7617627
17.51,152.7425802
15.37,135.3476535
17.99,186.5291461
12.11,142.0890209
12.56,120.8557641
9.68,88.25808493
15.96,150.0515047
16.28,148.721318
14.69,141.0577004
17.42,149.8271922
14.91,112.5342518
12.49,122.811118
16.47,142.1326361
14.49,113.4850329
15.31,147.3400214
16.53,170.6125418
13.47,122.3726903
10.02,107.5123739
12,109.8614533
12.75,107.0008779
13.42,146.199145
14.3,132.9214424
11.56,116.7635607
15.9,147.6705878
13.05,117.0373785
11.34,93.38709349
16.28,159.8960607
10.56,101.5857186
16.95,143.9653385
14.55,155.2883907
14.19,128.7384537
10.71,83.6235058
12,104.0504752
14.69,154.7938563
11.09,72.05641185
15.11,131.379934
14.86,119.3709843
16.01,114.0065446
9.07,67.59098727
9.42,75.41629731
17.95,151.2080402
14.08,118.619246
10.74,104.2920781
10.92,101.654256
12.15,116.2102972
12.6,114.3623133
10.52,93.74432518
12.86,116.0418608
16.67,147.5529159
18.64,164.798422
11.96,128.0035986
14.52,126.9013123
17.53,144.4277941
15.45,125.6662835
14.39,148.719478
13.7,131.4667577
13.43,120.111645
12.87,128.5152639
9.72,77.41255683
15.5,170.3743915
9.89,85.67292553
16.08,129.0476928
14.37,114.1953447
13.76,145.5416751
17.24,131.8454388
12.38,104.7719816
14.29,127.6314496
12.95,126.5105158
14.67,129.628204
11.91,104.3166536
14.19,110.0497727
16.43,186.4678638
15.11,135.5403879
12.56,125.2998372
12.48,114.3899813
16.53,116.1402547
14.59,109.7380741
17.53,151.5221469
16.48,174.9164233
12.31,108.3715081
13.99,141.9571818
16.35,139.4585725
13.72,133.1008923
16.19,141.4106949
12.2,89.07184374
12.53,106.7434068
13.8,128.7702889
10.84,91.44853046
9.71,99.56985849
13.95,144.512941
11.76,97.01838367
15.69,152.1643553
13.11,115.2133637
14.68,119.2874053
16.35,142.0728441
15.58,159.1808207
17.59,142.4591486
12.1,109.9975511
15.61,113.3678775
12.04,105.2886539
21.38,218.6993005
9.67,96.86266689
16.72,150.9958372
13.21,132.8852578
10.49,95.82481853
12.45,101.6967411
13,137.6872474
14.84,135.6822237
13.94,98.74609132
16.7,152.8058332
15.96,153.8314263
15.05,131.3439095
11.14,107.9276233
12.13,96.67760966
15.19,130.6270671
14.37,129.5550469
18.17,152.0377384
12.11,103.7695055
13.17,134.4654469
12.65,95.15015148
14.24,115.0852788
10.72,90.44897025
17.16,168.4557344
12.68,104.5467914
13.47,107.1293172
14.96,158.6470274
16.43,151.2981483
9.52,86.81094531
14.87,134.6844878
14.5,117.5641013
13.89,116.1863851
12.37,104.5339919
15.36,152.7908521
14,127.4307943
13.18,106.2464912
13.98,152.7857615
13.93,170.0335681
16.5,129.9120596
11.45,86.973145
12.66,113.8159062
15.82,130.4432212
13.83,124.4956079
13.48,119.3374801
12.32,113.4690069
10.32,96.88794441
11.8,101.5103753
14.01,143.9504292
15.39,113.8448181
11.65,90.73586207
15.3,146.0175299
13.82,110.9456973
14.21,146.1606709
14.2,119.4464028
12.07,113.4706705
11.55,114.5247596
12.06,108.7005968
13.8,131.022154
18.89,152.3984159
15.2,142.500746
13.64,118.6093036
18.52,150.7672217
14.83,122.1443464
14.28,137.4664331
13.62,116.0853343
13.05,133.1020128
15.93,115.8893328
17.71,149.7947759
12.62,113.3039945
14.13,148.7630463
14.39,126.5121842
12.39,111.1185205
13.9,136.7787193
14.35,118.3710945
13.88,116.2906182
10.85,111.8253361
13.63,130.5098904
13.07,120.9587334
14.66,140.5431157
11.9,98.40100576
14.95,136.6166022
16.66,166.222333
15.05,147.3556377
11.67,114.5349806
16.68,118.0530121
14.66,134.2455634
10.88,100.0353944
15.85,137.760309
11.86,122.9896054
16.29,135.1302422
13.44,120.1374345
15.76,141.4614032
14.6,141.131664
16.45,135.1877531
13.49,112.5625844
14.72,111.7867968
15.97,154.9410474
14.5,161.7076056
16.22,158.6542032
14.42,126.7914933
14.69,123.3479861
16.46,167.4422589
14.65,139.8404614
14.47,110.793988
13.31,139.2037526
14.11,126.1131503
12,86.48108866
13.95,144.4777813
11.84,110.8715942
15.02,159.2778097
16.19,126.6807709
11.99,95.24793538
10.36,96.36986006
12.12,91.13871578
15.64,148.7923391
14.45,124.5848302
15.51,124.1847881
13.8,140.3383123
19.37,151.8675204
12.84,125.1168514
13.52,135.4348196
13.86,132.7081425
13.52,126.0020321
15.6,153.5759041
14.86,135.0018557
15.77,137.8648321
12.42,126.6409524
10.12,87.93022607
13.38,116.7293494
10.8,96.5607658
16.18,150.5134505
10.93,104.545002
14.01,135.4421095
12.3,100.0705942
16.96,172.9228645
12.76,117.2397008
12.12,87.10654665
12.55,111.9078658
11.79,111.2722924
15.8,153.203418
15.22,116.1065851
16.68,138.5546856
11.62,102.311597
11.84,90.59166235
12.99,70.72565748
16.54,148.7369248
12.75,118.2822276
8.28,89.03021254
12.05,121.7540243
14.08,125.8735567
19.81,132.4535823
12.82,128.6257288
12.59,114.5661542
14.18,153.6355115
13.93,131.8755393
14.17,132.6670423
13.55,123.8884758
14.37,138.8861346
11.34,116.931681
12.42,97.9541153
18.07,148.5266415
12.29,122.1169798
12.65,109.1408392
14.73,137.962283
11.8,113.0612499
14.09,131.1620185
16.83,148.7915901
11.22,82.00990786
15.58,139.2410314
11.9,119.5072631
16.45,131.6977875
12.2,120.2783685
21.11,188.466666
16.32,152.3042929
11.9,71.90394619
11.12,92.51292903
9.23,71.08005184
14.36,150.8392806
18.22,149.5918242
11.77,112.0465089
11.71,125.3769051
15.14,130.1162412
16.9,139.2609669
14.2,135.8991127
15.52,131.1929685
14.61,130.7044143
15.31,164.2729081
15.87,137.2197975
13.68,119.0070678
14.22,115.2723652
15.99,126.9342042
15.02,124.0687296
11.46,93.02986078
13.85,122.552233
13.18,116.3979811
13.04,109.4894173
15.09,155.6099711
15.57,143.7942655
14.4,123.9514241
16.16,141.4213054
11.77,110.4498352
20.94,218.923509
14.28,104.1418887
14.05,99.55417614
16.87,154.2042597
18.67,172.7153646
12.23,105.7775792
14.08,137.0703239
13.5,133.4999652
13.58,137.4596708
15.07,143.5199099
14.53,121.2878363
12.25,104.0076255
11.11,83.35351439
15.68,120.6433948
15.56,141.6773346
13.23,121.4911141
14.57,116.0470978
15.47,153.6402365
11.95,125.405232
12.42,121.760379
15.91,109.6105407
13.3,137.2061946
15.29,178.823851
14.33,127.4961181
18.66,164.7778443
13.34,114.8526406
12.96,138.1350489
15.3,110.4309721
10.58,86.52918368
13.3,110.1999221
14.27,110.0039589
14.39,129.1710321
16.56,132.3111502
13.3,106.1582108
14.31,115.7106332
13.21,127.4075316
14.55,93.35548349
13.98,109.6817196
12.54,115.7684247
15.59,133.218725
13.1,129.6230303
16.43,162.0274286
12.64,112.4552347
13.92,135.0869927
10.77,96.16852729
13.25,110.7144978
9.3,78.28364966
11.63,90.72763184
10.64,114.4542878
13.72,116.2329671
12.3,119.1722965
11.69,133.7137109
14.88,111.0780963
12.49,111.0710038
13.5,110.4397027
15.06,150.0258067
15.91,127.5430514
9.69,84.10630701
12.72,133.5791293
17.1,171.6222221
11.67,122.0957237
11.42,84.82992623
12.46,83.64527194
16.49,141.5217874
12.25,99.59523528
14.08,129.9195141
15.83,139.1648425
13.07,114.2816422
11.69,115.4778565
12.91,122.8121875
14.04,88.45576277
13.88,132.4364556
14.96,112.4975207
12.62,103.6206729
10.85,102.3309812
16.71,162.3869443
13.67,128.2791867
13.7,147.8083943
13.52,119.2504486
14.82,135.9314777
16.52,154.8637332
16.22,150.4889936
14.23,146.5767478
14.72,123.8126553
12.85,135.6645955
16.01,176.9121539
14.81,130.71648
17.28,162.6179421
12.2,101.1476106
15.89,154.0718568
11.75,106.9722532
14.65,153.9327083
10.55,83.89824861
13.27,109.4506404
12.61,122.8772953
12.96,121.4812726
12.05,120.5355115
14.04,95.99133578
10.81,86.74578531
15.37,116.10941
14.16,150.7021207
15.38,144.6143989
12.77,116.059592
15.48,140.0440848
16.42,151.3360832
14.61,116.3615688
13,95.71651113
13.13,131.7358872
12.97,133.9809246
13.43,103.8631267
15.05,126.6143566
13.54,113.9378424
9.12,76.13858295
17.12,153.3492053
13.23,151.360262
13.85,124.2555804
15.24,134.7710286
11.27,98.22785613
16.65,142.8293259
12.68,146.3987119
16.05,130.7217143
14.87,129.7619373
15.74,126.3559578
13.5,121.6564078
15.14,128.2553844
12.88,107.6533232
14.65,141.3386478
14.64,148.1829477
16.78,160.2748732
14.78,132.7358084
16.51,121.3819854
12.93,132.3323172
13.17,126.7327438
15.98,126.8190551
13.51,110.1792161
10.32,88.38289566
14.68,124.0768314
11.3,117.7072012
9.99,93.09923292
14.77,135.792136
14.81,120.0801515
11.4,113.2312147
12.09,84.41504441
13.98,101.9737683
17.08,166.4344656
12.12,125.0466436
11.87,128.1397279
14.49,146.3166009
13.1,94.68937948
11.13,87.77082173
12.11,95.818599
12.48,122.244088
15.38,146.1885905
11.37,110.9622994
11,77.18401185
10.31,89.81190324
14.96,113.7007456
12.69,98.4450273
13.15,129.4811172
11.81,104.6575529
10.02,75.79859187
12.12,98.27279706
12.89,145.6938428
13.38,106.6439888
14.98,147.579888
11.53,116.8986046
13.02,116.9810653
12.99,140.1904572
14.21,143.2179738
8.7,63.08406323
14.14,114.6957574
11.45,92.43735779
14.93,102.5412742
11.15,89.09993362
15.34,130.6201331
13.43,112.9345838
14.14,139.1008925
13.1,94.68835619
10.68,93.87828435
12.6,111.7422949
13.45,120.5848274
13.4,127.3263908
14.66,157.5228732
16.72,161.1527993
13.42,131.4035747
15.04,142.0410317
12.58,104.2894897
14.48,115.649815
13.12,119.1825746
12.65,136.4712219
13.12,130.6429562
14.72,147.284062
14.45,142.470054
10.64,109.4318746
14.13,139.0457981
14.85,104.0554969
14.03,124.6985295
11.64,91.98071963
16.86,166.3795785
13.68,109.254084
12.95,115.3127653
13.45,131.569666
12.06,102.2794892
14.44,108.5040022
14.83,139.9373563
14.76,153.3023495
13.29,116.047686
13.28,121.1201277
15.08,157.5775075
10.21,103.7002304
11.94,101.2697227
12.03,110.4201719
10.6,97.52038695
16.62,174.8002074
13.16,120.7590139
12.02,103.5186305
12.62,93.50410772
12.83,128.9883517
9.27,70.14514923
13.57,141.0645897
14.35,116.2931983
11.99,99.89964379
14.21,110.5359896
13.81,134.1599325
13.9,132.8497893
10.89,105.6273209
15.48,133.5678722
12.16,107.5480049
10.64,103.0880766
10.66,89.4092709
15.13,121.8979831
15.72,107.3315052
16.62,145.615602
15.41,102.4030936
13.96,123.1959825
14.19,107.7066831
12.28,101.6984801
14.75,150.1345077
13.05,112.0756095
16.67,154.1184717
16.45,154.5600721
13.19,117.2368866
12.86,106.9478531
16.8,154.4829195
13.73,142.8513781
16.02,131.956641
15.69,159.3782103
15.02,126.1418048
14.87,121.378359
13.3,121.1229515
17.08,159.8653664
17.24,168.1427044
18.14,114.9023975
14.52,135.5171438
17.53,146.7197787
10.89,101.0082775
13.65,124.7696933
13.69,123.6537726
13.63,146.5180839
12.43,107.1457214
15.17,128.0862637
14.45,113.1811166
15.51,138.218166
10.47,93.44496749
14.33,115.5537455
13.68,134.0237304
15.7,171.0802834
11.81,112.6137505
15.74,142.4866585
12.91,127.0627396
16.66,106.6072884
13.25,147.8115453
17.88,144.8266526
9.1,85.22718658
14.57,109.0542009
15.46,147.9315603
13.55,98.20692389
18.17,175.7768334
14.35,116.2857862
11.88,102.8962093
13.72,137.3091145
10.97,92.31054123
13.15,138.8806584
12.93,132.8816533
15.14,152.8462643
15.8,157.8045388
18.33,171.37659
13.51,114.0750646
14.68,134.8678679
13.16,115.4164125
15.51,143.7178275
16.66,132.8050168
16.29,111.8278581
13.98,110.3800937
12.02,95.98943391
13.29,114.1149088
14.61,113.3691326
14.04,114.0081139
10.08,95.7344936
14.78,126.9127
11.32,93.90865463
12.27,133.8274156
14.34,104.9870352
10.03,89.20007014
14.11,121.2429538
13.54,115.4026488
13.09,112.3643159
13.13,111.1940342
16.16,163.5909716
11.85,118.3313581
15.16,118.3824632
16.7,127.2473621
10.64,96.41039861
13.83,127.1441302
13.86,112.9834781
13.82,118.8411497
14.17,123.242063
15.56,108.3873048
18.38,162.4014824
14.71,97.66978068
12.21,120.520264
10.64,88.20786962
16.07,150.870027
12.56,127.8201622
13.12,123.5470921
18.4,207.6119128
13.43,118.0530458
13.16,118.5924753
17.16,115.9590713
12.46,119.3681657
14,109.9467351
14.11,124.0351008
13.61,109.8073195
13.11,121.2091572
12.31,111.4830152
14.96,135.8078114
11.37,94.08793682
17.75,177.2053891
