CustomerId,Age,Employment_Type,Sector,Gender,Part_Of_UK,Income,Native_Country,Loan_Period,Loan_Amount,Other_Debt,Housing_Situation,Has_CCJ,Default
369,25,Private,Retail,Male,West Midlands,13600,UK,144,11300,0,1,0,1
376,31,Private,Retail,Male,North West,32400,UK,874,8500,0,1,0,0
381,41,Public,Healthcare,Male,South East,28600,UK,196,8700,0,1,0,1
385,38,Private,Law,Female,West Midlands,43000,UK,113,7200,0,1,0,1
389,39,Private,Engineering,Male,London,31900,UK,705,8200,0,1,0,0
397,48,Private,Media,Female,London,51300,Po,591,9400,0,1,0,0
400,16,Public,Law Enforcement,Male,Midlands,21300,UK,718,5400,0,1,0,0
401,18,Unemployed,N/A,Female,East Anglia,0,UK,60,10200,0,1,0,1
420,14,Public,Law Enforcement,Female,Northern Ireland,23200,UK,25,7900,0,1,0,1
433,49,Private,Agriculture,Male,London,22400,UK,605,10400,0,1,0,0
468,38,Private,Finance,Female,South East,60000,UK,529,11700,0,1,0,0
498,34,Private,Media,Female,South West,24700,UK,283,11600,0,1,0,1
502,51,Private,Law,Male,South East,15700,UK,273,9300,17558,1,0,1
510,24,Unemployed,N/A,Male,West Midlands,0,UK,751,12800,0,1,0,0
512,42,Private,Law,Female,South West,21100,UK,238,8700,0,1,0,1
524,23,Private,Law,Male,South East,23200,UK,292,10700,0,1,0,1
528,19,Private,Media,Male,Scotland,28300,UK,781,9300,0,1,0,0
533,36,Private,Media,Female,North East,7800,UK,266,11800,0,1,0,1
570,35,Private,Engineering,Female,London,39200,UK,359,10100,0,1,0,1
597,27,Private,Technology,Female,Scotland,30800,UK,496,11100,0,1,0,1
627,25,Private,Agriculture,Female,South East,32500,UK,121,8600,0,1,0,1
628,33,Private,Retail,Female,South West,23700,UK,453,9300,0,1,0,1
630,35,Private,Agriculture,Female,North West,32800,UK,74,9200,0,1,0,1
640,12,Public,Military,Female,Midlands,19900,UK,611,8900,0,1,0,0
642,19,Private,Law,Male,West Midlands,24100,UK,297,10000,0,1,0,1
644,23,Unemployed,N/A,Female,Scotland,0,UK,512,12500,0,1,0,1
652,45,Private,Agriculture,Male,West Midlands,37700,UK,493,8700,0,1,0,0
671,45,Private,Retail,Male,Scotland,14200,UK,662,10300,0,1,0,0
673,25,Private,Retail,Female,South East,30800,UK,467,10500,0,1,0,1
676,38,Private,Media,Female,West Midlands,24200,UK,354,15600,0,1,0,1
679,57,Private,Retail,Female,South West,13400,UK,28,8100,0,1,0,1
708,26,Private,Law,Male,South East,27700,UK,102,8400,0,1,0,1
709,30,Volunteer,Agriculture,Female,South East,0,UK,125,11000,0,1,0,1
711,38,Private,Finance,Male,Scotland,58100,UK,749,6800,0,1,0,0
712,42,Private,Finance,Female,West Midlands,16800,UK,126,9700,15352,1,0,1
715,23,Public,Healthcare,Female,Midlands,18700,UK,600,10500,0,1,0,0
740,39,Private,Healthcare,Male,East Anglia,24400,UK,581,6400,0,1,0,0
741,51,Self-Employed,Education,Female,London,13600,UK,462,8600,0,1,0,1
748,25,Self-Employed,Education,Female,Midlands,13600,UK,233,12500,0,1,0,1
757,13,Private,Media,Female,North West,23900,UK,260,10100,0,1,0,1
763,16,Unemployed,N/A,Male,North West,0,UK,182,9600,0,1,0,1
769,34,Private,Retail,Male,London,18300,UK,444,11100,0,1,0,1
771,50,Private,Healthcare,Female,Scotland,11400,UK,374,13500,0,1,0,1
773,34,Private,Media,Male,North West,17100,UK,918,9400,0,1,0,0
775,24,Private,Finance,Female,London,36000,UK,566,11400,0,1,0,0
786,48,Private,Law,Female,Northern Ireland,20900,UK,815,8500,0,1,0,0
793,18,Private,Media,Female,London,23000,UK,1018,9100,0,1,0,0
796,28,Private,Finance,Female,South East,28100,UK,526,9800,0,1,0,0
822,38,Private,Healthcare,Female,South East,41500,UK,512,10700,0,1,0,0
830,49,Private,Technology,Female,London,43300,UK,371,12600,0,1,0,1
832,56,Unemployed,N/A,Male,North West,0,UK,684,8200,0,1,0,0
853,36,Private,Retail,Male,South East,13900,UK,397,8200,0,1,0,1
862,35,Public,Military,Male,South East,27400,UK,740,12800,0,1,0,0
880,21,Unemployed,N/A,Female,South East,0,UK,422,8700,0,1,0,1
892,44,Private,Media,Male,Wales,20300,UK,438,8400,0,1,0,1
897,16,Public,Military,Female,North West,25500,UK,585,10700,0,1,0,0
909,29,Self-Employed,Technology,Male,South West,26500,UK,628,8900,0,1,0,0
911,17,Unemployed,N/A,Male,West Midlands,0,UK,520,9700,0,1,0,1
945,41,Private,Retail,Male,London,33500,UK,608,9500,0,1,0,0
948,15,Public,Infrastructure,Female,North West,24100,UK,489,5500,0,1,1,1
958,46,Private,Media,Female,South East,27800,UK,558,10500,0,1,0,0
960,32,Private,Healthcare,Female,South East,39000,UK,1009,8000,0,1,0,0
973,25,Private,Agriculture,Male,South West,23100,UK,333,11700,0,1,0,1
975,38,Private,Law,Female,South East,19400,UK,489,9100,0,1,0,0
980,22,Unemployed,N/A,Male,East Anglia,0,UK,594,9000,0,1,0,0
992,15,Public,Education,Female,Midlands,19200,UK,22,13000,0,1,0,1
1012,43,Private,Media,Male,South East,49500,UK,294,7000,0,1,0,1
1015,37,Private,Technology,Female,West Midlands,35600,UK,492,8800,0,1,0,0
1049,32,Private,Healthcare,Male,South East,27300,UK,155,11000,0,1,0,1
1054,45,Private,Technology,Female,London,40600,UK,272,12700,1111,1,0,1
1056,23,Private,Technology,Female,South East,26000,UK,1275,8300,0,1,0,0
1057,20,Unemployed,N/A,Male,South West,0,UK,171,9900,0,1,0,1
1072,45,Private,Healthcare,Male,Scotland,24800,UK,486,7000,0,1,0,1
1083,20,Private,Media,Male,South East,42000,UK,785,11700,0,1,0,0
1086,20,Unemployed,N/A,Female,Wales,0,UK,160,13600,0,1,0,1
1089,22,Unemployed,N/A,Male,North West,0,UK,392,8400,0,1,0,1
1092,28,Private,Technology,Male,South East,35900,UK,640,10700,0,1,0,0
1100,12,Unemployed,N/A,Male,South East,0,UK,873,9200,0,1,0,0
1106,32,Private,Healthcare,Male,South West,23600,UK,482,8000,0,1,0,1
1120,37,Private,Finance,Male,South East,37300,UK,301,6600,0,1,0,1
1125,33,Private,Retail,Female,South East,35400,UK,494,11500,0,1,0,0
1137,12,Private,Law,Male,London,27100,UK,467,9800,0,1,0,1
1156,29,Private,Media,Male,North West,18300,UK,784,10600,0,1,0,0
1173,43,Private,Engineering,Female,South West,8700,UK,625,7800,0,1,0,0
1180,12,Private,Finance,Female,North West,25200,UK,306,11700,0,1,0,1
1188,33,Private,Law,Male,South East,54900,UK,661,7000,0,1,0,0
1189,29,Private,Media,Male,South East,32700,UK,744,9900,0,1,0,0
1191,41,Private,Engineering,Male,London,25300,UK,511,8000,0,1,1,1
1196,31,Private,Media,Female,London,21800,UK,379,11000,0,1,0,1
1205,19,Private,Media,Male,South East,25900,UK,683,8200,0,1,0,0
1207,36,Private,Agriculture,Male,West Midlands,14500,UK,112,9600,0,1,0,1
1212,17,Public,Education,Female,Midlands,19500,UK,211,9900,0,1,0,1
1217,44,Private,Healthcare,Male,South East,12500,UK,289,11800,0,1,0,1
1227,28,Private,Retail,Female,Scotland,31000,UK,1004,12000,0,1,0,0
1234,19,Unemployed,N/A,Female,South West,0,UK,662,9000,0,1,0,0
1248,63,Private,Technology,Female,South East,10600,UK,342,7900,0,1,0,1
1266,31,Private,Healthcare,Male,West Midlands,18900,UK,149,7800,0,1,0,1
1269,36,Private,Law,Male,West Midlands,15300,UK,515,9400,0,1,0,0
1284,24,Public,Law Enforcement,Female,South East,31500,UK,185,9600,0,1,0,1
1287,25,Public,Healthcare,Male,Scotland,24300,UK,430,9400,0,1,0,1
1295,42,Self-Employed,Healthcare,Male,London,21500,UK,20,10600,0,1,0,1
1311,41,Private,Finance,Male,North West,28200,UK,388,8900,2647,1,0,1
1312,21,Private,Engineering,Female,London,41100,UK,772,9500,0,1,0,0
1314,40,Private,Healthcare,Male,South East,30100,UK,270,7100,0,1,0,1
1317,41,Volunteer,Agriculture,Male,South East,0,UK,166,11900,0,1,0,1
1321,27,Private,Finance,Male,West Midlands,22800,UK,475,7600,0,1,0,1
1329,27,Private,Law,Female,Scotland,31700,UK,608,6200,0,1,0,0
1338,31,Self-Employed,Healthcare,Male,South East,34200,UK,819,10000,0,1,0,0
1365,52,Volunteer,Education,Male,North West,0,UK,864,6600,0,1,0,0
1367,43,Private,Healthcare,Female,East Anglia,23000,UK,251,11100,2089,1,0,1
1388,41,Self-Employed,Agriculture,Male,North West,14300,UK,424,10600,0,1,0,1
1403,16,Public,Law Enforcement,Male,South West,24400,UK,611,8500,0,1,0,0
1407,38,Private,Media,Female,West Midlands,26500,UK,294,9900,0,1,0,1
1409,41,Private,Agriculture,Female,London,31100,UK,807,11500,0,1,0,0
1440,35,Private,Technology,Male,South East,20400,UK,510,9200,0,1,0,0
1441,26,Private,Media,Male,South East,30700,UK,740,7900,0,1,0,0
1444,23,Private,Media,Male,South East,34900,UK,709,11900,0,1,0,0
1491,28,Private,Agriculture,Female,South East,32500,UK,658,10800,0,1,0,0
1495,36,Private,Technology,Male,London,28200,UK,451,11700,0,1,0,1
1498,77,Private,Healthcare,Male,South West,12800,UK,540,9300,0,1,0,0
1511,24,Public,Military,Female,London,29100,UK,1236,10100,0,1,0,0
1520,67,Private,Media,Male,London,16200,UK,309,10300,0,1,0,1
1523,44,Private,Finance,Female,North West,24500,UK,190,9600,0,1,0,1
1527,41,Private,Technology,Female,South West,12700,UK,727,10100,0,1,0,0
1536,22,Public,Military,Female,South East,29700,UK,154,9100,0,1,0,1
1537,76,Private,Technology,Female,South West,9500,UK,618,8200,0,1,0,0
1538,34,Private,Healthcare,Female,North West,26900,UK,644,8300,0,1,0,0
1540,35,Public,Law Enforcement,Male,West Midlands,18800,UK,403,13000,0,1,0,1
1549,25,Private,Agriculture,Female,Midlands,16500,UK,558,7100,0,1,0,0
1556,48,Private,Engineering,Female,South East,9700,UK,95,10200,0,1,0,1
1558,25,Volunteer,Healthcare,Male,North West,0,Ot,348,7200,0,1,0,1
1565,12,Private,Agriculture,Female,London,28800,UK,346,13000,0,1,0,1
1567,36,Private,Finance,Male,South East,41800,UK,659,9900,0,1,0,0
1575,16,Unemployed,N/A,Female,London,0,UK,252,8300,0,1,0,1
1577,21,Private,Law,Male,South West,22700,UK,272,8300,0,1,0,1
1582,51,Private,Law,Female,South West,13700,UK,20,11800,0,1,0,1
1583,22,Private,Law,Female,North West,30500,UK,153,11800,0,1,0,1
1601,44,Private,Agriculture,Male,West Midlands,33300,UK,1100,11300,0,1,0,0
1608,35,Private,Media,Female,South East,30600,UK,605,13800,0,1,0,0
1610,27,Public,Infrastructure,Male,South East,26600,UK,366,10600,0,1,0,1
1615,22,Unemployed,N/A,Female,North West,0,UK,1128,10400,0,1,0,0
1620,20,Unemployed,N/A,Female,London,0,UK,390,13500,0,1,0,1
1627,26,Private,Law,Female,Wales,23100,UK,517,8700,0,1,0,0
1659,17,Public,Law Enforcement,Female,South East,32300,UK,683,6400,0,1,0,0
1675,24,Public,Infrastructure,Female,Scotland,27600,UK,467,9000,0,1,0,1
1695,42,Private,Finance,Male,Wales,16900,UK,518,10300,0,1,0,0
1699,26,Private,Engineering,Male,North West,21300,UK,171,10600,0,1,0,1
1706,43,Private,Finance,Female,South West,30600,UK,601,12700,0,1,0,0
1707,54,Private,Engineering,Female,London,11400,UK,312,8100,0,1,0,1
1717,24,Public,Law Enforcement,Female,North West,20700,UK,748,10100,0,1,0,0
1719,30,Private,Law,Male,East Anglia,10900,UK,712,11700,0,1,0,0
1726,28,Private,Finance,Female,North West,27900,UK,411,8600,0,1,0,1
1733,47,Private,Finance,Male,East Anglia,24800,UK,515,11300,0,1,0,0
1737,22,Private,Engineering,Female,South East,30000,UK,294,8900,0,1,0,1
1766,33,Private,Finance,Male,London,34700,UK,709,8900,0,1,0,0
1778,22,Unemployed,N/A,Male,North West,0,UK,243,11400,0,1,0,1
1779,35,Private,Retail,Male,West Midlands,14800,UK,352,9500,0,1,0,1
1791,34,Volunteer,Finance,Male,North West,0,UK,768,10900,0,1,0,0
1794,14,Private,Agriculture,Female,South East,32600,UK,591,8100,0,1,0,0
1795,21,Private,Finance,Male,North West,19000,UK,126,11100,0,1,0,1
1813,70,Private,Technology,Female,Northern Ireland,11900,UK,486,13400,0,1,0,0
1815,33,Private,Healthcare,Male,South West,28400,UK,233,12200,0,1,0,1
1816,35,Volunteer,Agriculture,Female,South East,0,UK,784,14000,0,1,0,0
1819,17,Unemployed,N/A,Male,West Midlands,0,UK,429,8100,0,1,0,1
1822,23,Public,Education,Female,Scotland,25500,UK,633,11200,0,1,0,0
1832,43,Private,Healthcare,Female,South East,70700,UK,277,11300,0,1,0,1
1845,22,Unemployed,N/A,Female,South East,0,UK,187,8500,0,1,0,1
1849,38,Private,Engineering,Male,Scotland,29200,UK,74,10700,0,1,0,1
1853,41,Private,Finance,Male,Midlands,21400,UK,507,12800,0,1,0,0
1855,54,Volunteer,Education,Male,South East,0,UK,388,10100,0,1,0,1
1858,79,Private,Technology,Female,South East,15200,UK,602,9100,0,1,0,0
1860,39,Private,Agriculture,Female,South East,32100,UK,613,15300,0,1,0,0
1880,20,Unemployed,N/A,Male,South East,0,UK,899,10500,0,1,0,0
1901,25,Private,Law,Male,South East,33500,UK,230,14300,0,1,0,1
1924,18,Public,Education,Male,South East,32300,UK,356,11700,0,1,0,1
1926,14,Private,Retail,Female,South East,32600,UK,1029,11200,0,1,0,0
1933,26,Private,Media,Female,South East,24300,UK,543,12300,0,1,0,0
1963,52,Private,Finance,Female,North East,7500,UK,123,8000,0,1,0,1
1972,36,Private,Finance,Female,West Midlands,24900,Ch,651,11800,0,1,0,0
1986,41,Private,Engineering,Male,South West,58900,UK,486,11600,0,1,0,0
1988,33,Private,Agriculture,Male,North West,22000,UK,675,9300,0,1,0,0
1996,32,Private,Law,Male,South West,16500,UK,400,8700,0,1,0,1
1998,28,Private,Finance,Female,Northern Ireland,25700,UK,470,10400,0,1,0,1
2000,56,Public,Law Enforcement,Male,West Midlands,22000,UK,315,11200,0,1,0,1
2003,53,Private,Engineering,Female,South East,15000,UK,688,9900,0,1,0,0
2021,43,Private,Finance,Female,North West,7200,UK,493,6400,0,1,0,0
2025,49,Private,Finance,Male,South East,15100,UK,64,12200,0,1,0,1
2034,30,Volunteer,Finance,Female,Wales,0,UK,699,11200,0,1,0,0
2048,21,Private,Technology,Female,London,35300,UK,298,10700,0,1,0,1
2058,23,Unemployed,N/A,Male,West Midlands,0,UK,825,9400,0,1,0,0
2065,31,Private,Healthcare,Female,South East,22000,UK,1097,11400,0,1,0,0
2082,31,Private,Healthcare,Female,East Anglia,28300,UK,466,9200,0,1,0,1
2084,25,Private,Engineering,Male,South East,39000,UK,1156,8600,0,1,0,0
2111,24,Private,Agriculture,Male,South East,25800,UK,749,9200,0,1,0,0
2124,43,Public,Healthcare,Male,South East,34400,UK,186,8100,5065,1,0,1
2128,25,Private,Law,Male,South West,22100,UK,340,14700,0,1,0,1
2131,23,Unemployed,N/A,Male,South West,0,UK,412,12400,0,1,0,1
2140,20,Private,Engineering,Male,Scotland,16400,UK,56,11000,0,1,0,1
2146,52,Private,Agriculture,Male,London,15700,UK,249,9900,0,1,0,1
2161,33,Private,Healthcare,Male,North West,35800,UK,1234,8500,0,1,0,0
2166,16,Unemployed,N/A,Female,North West,0,UK,832,12400,0,1,0,0
2169,34,Private,Healthcare,Male,North West,68800,UK,348,9900,0,1,0,1
2186,28,Private,Finance,Female,South West,34800,UK,521,9000,0,1,0,0
2188,26,Private,Finance,Male,East Anglia,17900,UK,292,8200,0,1,0,1
2196,15,Public,Military,Female,South East,28600,UK,635,6900,0,1,0,0
2204,23,Unemployed,N/A,Male,South East,0,UK,569,11200,0,1,0,0
2206,27,Private,Agriculture,Female,South East,35000,UK,208,9700,0,1,0,1
2208,70,Public,Healthcare,Male,West Midlands,19700,UK,2,7400,0,1,0,1
2218,23,Unemployed,N/A,Female,South West,0,UK,494,10100,0,1,0,1
2220,31,Private,Agriculture,Female,Scotland,48600,UK,896,13700,9205,1,0,0
2232,46,Private,Retail,Female,London,28400,UK,756,8900,0,1,0,0
2234,28,Private,Engineering,Female,South East,30300,UK,443,14000,0,1,0,1
2246,29,Private,Media,Female,London,35700,UK,655,9300,0,1,0,0
2250,25,Private,Agriculture,Male,West Midlands,19400,UK,595,6400,0,1,0,0
2260,23,Private,Healthcare,Male,West Midlands,34300,UK,31,11300,0,1,0,1
2264,41,Private,Agriculture,Female,South East,15500,UK,600,13000,0,1,0,0
2265,16,Public,Infrastructure,Male,North West,26700,UK,339,14300,0,1,0,1
2276,26,Private,Finance,Male,South West,22800,UK,487,10900,0,1,0,1
2297,45,Private,Finance,Female,Midlands,16100,UK,505,11200,0,1,0,0
2301,31,Private,Engineering,Female,West Midlands,16800,UK,731,12500,0,1,0,0
2308,45,Private,Healthcare,Male,West Midlands,19200,UK,580,6900,10180,1,0,0
2321,17,Public,Education,Female,South East,30900,UK,1087,10300,0,1,0,0
2326,21,Public,Law Enforcement,Male,North West,25600,UK,876,8600,0,1,0,0
2328,71,Private,Media,Male,South East,12600,UK,186,8200,5087,1,0,1
2343,33,Private,Finance,Female,Midlands,12200,UK,1165,7000,0,1,0,0
2348,33,Private,Retail,Female,Scotland,19800,UK,531,9400,0,1,0,0
2355,30,Private,Agriculture,Male,South East,24900,UK,80,7100,0,1,0,1
2365,16,Private,Engineering,Female,West Midlands,17400,UK,516,11000,0,1,0,1
2373,35,Private,Engineering,Male,South West,19600,UK,831,9000,0,1,1,0
2378,37,Private,Technology,Female,West Midlands,11400,UK,223,8200,0,1,0,1
2383,30,Self-Employed,Finance,Male,Midlands,12800,UK,214,8500,0,1,0,1
2384,26,Private,Finance,Male,London,26500,UK,363,8300,0,1,0,1
2393,40,Private,Finance,Female,North West,18100,UK,517,11800,0,1,0,0
2395,43,Private,Healthcare,Female,South West,18800,UK,457,9100,0,1,0,1
2427,27,Private,Finance,Male,North West,21300,UK,282,11000,0,1,0,1
2440,33,Private,Technology,Female,West Midlands,25300,UK,633,9600,0,1,0,0
2443,32,Private,Agriculture,Female,North West,21300,Ot,507,10900,0,1,0,0
2473,17,Private,Technology,Male,South West,29100,UK,689,10800,0,1,0,0
2479,35,Private,Retail,Male,Scotland,25500,UK,153,7900,0,1,0,1
2491,26,Private,Engineering,Female,South East,30500,UK,632,13700,0,1,0,0
2498,26,Private,Retail,Female,South East,27400,UK,683,9200,0,1,0,0
2515,88,Public,Law Enforcement,Female,West Midlands,20900,UK,394,11900,0,1,0,1
2550,28,Volunteer,Healthcare,Male,South East,0,UK,94,10700,0,1,0,1
2574,45,Private,Media,Female,South West,25900,UK,728,9600,0,1,0,0
2616,23,Private,Finance,Female,South East,33900,UK,704,8600,0,1,0,0
2639,49,Private,Technology,Female,London,26800,UK,25,8700,0,1,0,1
2653,46,Private,Media,Male,South East,95700,UK,69,7800,0,1,0,1
2662,19,Unemployed,N/A,Male,North East,0,UK,668,11700,0,1,0,0
2675,41,Private,Retail,Male,South East,48500,UK,178,13800,0,1,0,1
2694,26,Private,Retail,Female,North West,26300,UK,265,7900,0,1,0,1
2697,45,Private,Engineering,Female,East Anglia,13900,UK,754,9800,3108,1,0,0
2706,20,Private,Law,Male,South East,23000,UK,605,8700,0,1,0,0
2713,32,Self-Employed,Agriculture,Female,South East,26200,UK,396,12900,0,1,0,1
2725,27,Private,Agriculture,Female,Wales,19500,UK,1005,9100,0,1,0,0
2729,14,Private,Technology,Female,West Midlands,30600,UK,662,11800,0,1,0,0
2737,40,Private,Technology,Male,London,26900,UK,274,8700,0,1,0,1
2775,34,Private,Engineering,Male,South East,28400,UK,430,12800,0,1,0,1
2779,26,Private,Law,Male,South East,26000,UK,234,11300,0,1,0,1
2786,21,Unemployed,N/A,Female,South East,0,UK,662,8400,0,1,0,0
2787,42,Private,Law,Male,South East,37900,UK,548,6400,0,1,0,0
2791,21,Public,Education,Male,West Midlands,21000,UK,394,9600,0,1,0,1
2805,21,Public,Military,Female,West Midlands,21700,UK,202,12300,0,1,0,1
2808,21,Private,Finance,Female,South East,30300,UK,947,10900,0,1,0,0
2814,17,Unemployed,N/A,Male,London,0,Ot,1246,9200,0,1,0,0
2816,22,Public,Education,Female,London,28500,UK,1026,8400,0,1,0,0
2827,34,Private,Healthcare,Female,Scotland,34100,UK,981,10600,0,1,1,0
2837,31,Private,Healthcare,Female,North East,14900,UK,406,8400,0,1,0,1
2842,43,Private,Finance,Male,South East,21500,UK,302,9700,0,1,0,1
2849,48,Private,Retail,Female,South West,86300,UK,190,7200,0,1,0,1
2853,59,Private,Law,Male,East Anglia,12000,UK,682,13200,0,1,0,0
2858,17,Private,Finance,Male,South West,22400,UK,541,6700,0,1,0,0
2865,33,Private,Retail,Male,North West,16700,UK,879,10000,0,1,0,0
2869,23,Public,Healthcare,Male,South East,29900,UK,155,12100,0,1,0,1
2870,44,Private,Media,Female,Wales,20500,UK,522,11400,0,1,0,0
2888,20,Private,Law,Female,London,26600,UK,706,8100,0,1,0,0
2898,18,Unemployed,N/A,Female,South East,0,UK,777,15600,0,1,0,0
2907,26,Private,Agriculture,Female,South East,23600,UK,710,9100,0,1,0,0
2910,35,Private,Healthcare,Male,London,18200,UK,179,9600,0,1,0,1
2922,47,Private,Engineering,Male,London,46900,UK,5,9200,0,1,0,1
2923,33,Private,Technology,Female,North West,15900,Br,777,9300,0,1,0,0
2934,23,Unemployed,N/A,Male,North West,0,UK,792,9100,0,1,0,0
2938,37,Public,Military,Male,South East,29000,UK,969,9500,0,1,0,0
2946,23,Unemployed,N/A,Female,East Anglia,0,UK,863,7400,0,1,0,0
2954,30,Public,Law Enforcement,Female,South East,32700,UK,990,9300,0,1,0,0
2955,16,Private,Engineering,Male,Scotland,30400,UK,240,8800,0,1,0,1
2959,29,Private,Media,Male,South West,22100,UK,1095,8200,0,1,0,0
2973,59,Private,Engineering,Male,North West,12200,UK,735,7500,0,1,0,0
2985,21,Unemployed,N/A,Male,London,0,UK,769,10900,0,1,0,0
2995,19,Public,Infrastructure,Female,South East,28500,UK,94,14500,0,1,0,1
2999,25,Private,Engineering,Male,South East,34400,UK,316,5200,0,1,0,1
3018,24,Private,Finance,Male,London,32000,UK,1113,9000,0,1,0,0
3038,20,Public,Law Enforcement,Female,South East,30100,UK,177,7000,0,1,0,1
3043,32,Private,Technology,Male,South East,32200,UK,785,10900,0,1,0,0
3047,20,Public,Military,Male,South East,32400,UK,1049,7100,0,1,0,0
3051,40,Self-Employed,Education,Male,South East,24100,UK,564,14700,0,1,0,0
3053,19,Public,Healthcare,Female,North West,23600,UK,377,8100,0,1,0,1
3054,34,Private,Law,Female,London,54200,UK,91,8800,0,1,0,1
3056,33,Private,Law,Male,North West,24600,UK,798,9100,0,1,3,0
3059,21,Public,Infrastructure,Male,South East,30900,UK,463,10500,0,1,0,1
3107,34,Public,Education,Male,South West,22600,UK,144,10700,0,1,0,1
3116,26,Public,Education,Male,South East,27200,UK,380,11100,0,1,0,1
3121,44,Private,Healthcare,Female,South West,27400,UK,300,11100,0,1,0,1
3130,43,Private,Retail,Female,South East,34300,UK,460,11600,0,1,0,1
3143,24,Private,Law,Male,Scotland,22100,UK,544,14000,0,1,0,0
3161,26,Private,Technology,Female,South West,30000,UK,20,10500,0,1,0,1
3162,21,Private,Engineering,Male,London,34900,UK,249,11600,0,1,0,1
3163,36,Private,Agriculture,Female,South East,29000,UK,886,13500,0,1,0,0
3164,71,Unemployed,N/A,Male,South East,0,UK,475,9500,0,1,0,0
3183,25,Private,Agriculture,Male,South East,25000,UK,750,12800,0,1,0,0
3187,34,Private,Engineering,Male,Wales,23000,UK,1074,11000,0,1,0,0
3197,20,Private,Media,Female,South East,26000,UK,191,12700,0,1,0,1
3198,23,Private,Retail,Female,West Midlands,23000,UK,191,11800,0,1,0,1
3206,69,Public,Military,Male,South East,29900,UK,437,10300,0,1,0,1
3210,19,Public,Military,Male,London,33300,UK,372,11100,0,1,0,1
3217,34,Private,Technology,Male,South East,21900,UK,335,8100,0,1,0,1
3227,26,Private,Law,Male,North West,20100,UK,595,9500,0,1,0,0
3229,74,Private,Engineering,Male,North West,11300,UK,872,9400,7454,1,0,0
3234,19,Private,Law,Male,North West,34700,UK,559,12400,0,1,0,0
3256,29,Private,Technology,Male,South East,36400,UK,530,11500,0,1,0,0
3259,36,Private,Engineering,Female,South West,24100,UK,412,11400,0,1,0,1
3260,21,Unemployed,N/A,Male,South West,0,UK,374,10500,0,1,0,1
3261,20,Public,Healthcare,Female,West Midlands,24300,UK,290,9400,0,1,0,1
3264,36,Public,Military,Female,South East,30800,UK,37,10400,0,1,0,1
3268,33,Volunteer,Technology,Male,London,0,UK,925,8000,0,1,0,0
