Title,Dewey_Decimal_Number,Author,ISBN,In_Stock,DatePurchased,NumberInStock,NumberOfAccesses,Price,LastAccessed
Angel,823,"Taylor, Elizabeth",1719761832,y,,1,4,,05-NOV-2012
Angels and Aliens,1.9,"Thompson, Keith",3025780657,y,01-MAR-1994,1,1,12.49,18-MAY-2002
Angels and Insects,823,"Byatt, A. S.",8491901694,y,11-OCT-2005,5,12,5.99,12-MAY-2015
Anglo-Saxon Attitudes,823,"Wilson, Angus",978-4286689649,y,12-MAR-2009,3,4,5.99,29-MAY-2017
Animal Farm,823,"Orwell, George",9386231219,n,03-JAN-1976,0,10,0.99,16-MAY-2017
Anti-Ice,823,"Baxter, Stephen",8439287263,n,05-DEC-1996,0,4,17.99,16-MAY-2017
Antic Hay,823,"Huxley, Aldous",3417407038,y,31-MAY-1997,1,4,5.99,21-NOV-2002
"Anubis Gates, The",823,"Powers, Tim",0374534675,y,01-JUN-1987,2,1,4.99,30-DEC-1996
"Ape That Spoke, The",500,"McCrone, John",7847077366,y,20-FEB-2001,2,1,17.99,09-MAY-2009
Ape and Essence,823,"Huxley, Aldous",2707236573,y,20-DEC-2000,3,2,5.99,25-OCT-2007
Apocalypse,306,"Lawrence, D H",2753547352,y,04-APR-1998,2,4,21.5,03-NOV-2007
Apocalypses,900,"Weber, Eugen",6110584497,y,31-DEC-2000,2,2,5.99,19-MAR-2009
"Apparent Stability, The",820.9,"Bedford, Sybille",4778025562,y,01-AUG-1983,2,4,1.99,21-JAN-1989
Approaching Oblivion,823,"Ellison, Harlan",515886492X,y,01-MAR-1990,1,10,5.99,06-NOV-1990
Arcadia: The Dream of Perfection in Renaissance England,306,"Nicholson, Adam",0190831143,y,,1,2,,02-AUG-2015
Archangel,823,"Harris, Robert",9459671066,y,18-SEP-1996,2,4,7.99,05-DEC-2004
Archeology  and Language,410.9,"Renfrew, Colin",5750666976,n,30-APR-1996,0,2,7.99,16-MAY-2017
"Architecture of Desire, The",823,"Gentle, Mary",6229851393,y,01-JAN-1993,4,1,5.99,02-AUG-2002
Are We Alone?,520,"Davies, Paul",7491204952,y,02-FEB-1996,1,2,5.99,02-SEP-2005
Aristotle in 90 Minutes,185,"Strathern, Paul",1651351997,n,30-AUG-2000,0,2,5.99,16-MAY-2017
Arrival and Departure,823,"Koestler, Arthur",978-3674508456,y,29-APR-2015,5,2,12.49,15-MAY-2018
"Arrow of Time, The",530,Coveney and Highfield,3757557354,y,01-FEB-1993,1,2,17.99,02-SEP-2002
"Art of English, The: Everyday Creativity",418,"Maybin, Janet and Joan Swann (Eds)",9436743855,y,28-JAN-1999,1,2,17.99,16-APR-2007
"Art of English, The: Literary Creativity",418,"Goodman, Sharon Goodman and Kieran O'Halloran",625705874X,y,10-OCT-1995,1,4,5.99,10-MAY-2005
"Art of Fiction, The",809.3,"Lodge, David",8240218236,y,09-JUN-1998,2,4,5.99,13-APR-2005
"Art of Memory, The",153.1,"Yates, Frances A",9406858477,y,,1,2,,09-FEB-2010
Artificial Life,500,"Levy, Steven",0415850110,y,01-APR-1994,2,0,12.49,31-OCT-2003
Artificial Worlds,500,"Morris, Richard",9784830729,y,,2,0,,08-SEP-2006
As Man Becomes Machine,300,"Rorvik, David M",6668838391,y,01-JUL-1977,1,4,0.99,05-MAY-1984
"Ascent of Science, The",500,"Silver, Brian L",6870516090,y,,2,4,,20-MAR-2014
Asta's Book,823,"Vine, Barbara",5430892774,y,03-SEP-2004,4,10,17.99,20-NOV-2012
Astonishing the Gods,823,"Okri, Ben",978-8319931830,n,27-DEC-2015,0,10,7.99,16-MAY-2017
"Astronomers, The",520.9,"Rohan, Colin",5540006680,y,01-JUL-1992,1,4,21.5,06-MAY-1999
Astronomy Before the Telescope,520.9,"Walker, Christopher (ed.)",6219610598,y,,1,2,,20-MAR-2014
At Home in the Universe,500,"Kaufmann, Stuart",9812433366,y,05-NOV-1997,2,0,7.99,22-JAN-2006
At the Fringes of Science,500,"Friedlander, Michael W",978-5206959772,y,28-DEC-2013,2,4,12.49,15-MAY-2018
At the Mountains of Madness,823,"Lovecraft, H P",5073523789,n,01-FEB-1977,0,2,0.99,16-MAY-2017
"At the Threshold: UFOs, Science and the New Age",300,"Emmons, Charles F",9477901198,y,03-DEC-2004,1,2,7.99,04-JUL-2014
Atonement,823,"McEwan, Ian",978-1467122758,y,25-APR-2009,5,4,17.99,07-SEP-2010
"Atrocity Exhibition, The",823,"Ballard, J G",2646044890,y,01-MAR-1984,3,10,1.99,18-MAY-1992
"Automotive Nightmare, The",301.5,"Baird, Alistair",345757083X,n,01-MAY-1977,0,1,2.99,16-MAY-2017
"Avalonians, The",942.08,"Benham, Patrick",9659802974,y,18-NOV-2001,1,4,5.99,04-FEB-2010
"Awfully Big Adventure, An",823,"Bainbridge, Beryl",2297541873,y,31-DEC-2000,1,10,5.99,01-AUG-2010
"B List, The",791.43,"Sterritt, David, and john Anderson (eds)",6914217489,y,,1,0,,21-JAN-2008
Babylon Revisited,823,"Fitzgerald, F Scott",2151547504,y,01-MAY-1994,5,12,5.99,18-JUL-2002
Bare Bones,823,"Reichs, Kathy",978-8589550545,y,03-JUN-2015,1,4,5.99,15-MAY-2018
"Battle For God, The",200,"Armstrong, Karen",3595932542,y,01-JUL-1986,2,2,1.99,30-JAN-1996
"Beach, The",823,"Garland, Alex",978-1531270021,y,18-APR-2015,1,10,12.49,15-MAY-2018
Beacon for Change: How Festival of Britain Shaped Modern Age,941.9,"Turner, Barry",2302458003,n,,0,1,,16-MAY-2017
"Beast That Shouted Love at the Heart of the World, The",823,"Ellison, Harlan",1895198981,y,01-SEP-1979,2,2,1.99,06-JUL-1986
"Beastly Beatitudes of Balthazar B, The",823,"Donleavy, J P",513113094X,n,01-MAY-1980,0,1,1.99,16-MAY-2017
Beautiful Just!,823,"Beckwith, Lilian",2115771036,y,28-MAY-2001,3,1,5.99,17-JUN-2003
"Beautiful and the Damned, The",823,"Fitzgerald, F Scott",1457304978,y,01-MAY-1994,1,1,5.99,09-JUN-1998
"Bedsitting Room, The",822,"Milligan, Spike",8087914608,n,01-MAY-1979,0,1,3.5,16-MAY-2017
Behind the Scenes at the Museum,823,Atkinson Kate,978-2721729173,y,27-DEC-2015,4,1,17.99,15-MAY-2018
Behold the Man,823,"Moorcock, Michael",0190347689,n,01-JAN-1976,0,1,1.5,16-MAY-2017
Being Digital,500,"Negroponte, Nicholas",7985878935,y,12-FEB-1998,1,4,12.49,17-DEC-2004
"Bell Jar, The",823,"Plath, Sylvia",6632029408,y,01-MAY-1978,4,2,2.99,06-JAN-1979
Beneath the City Streets,320.9,"Laurie, Peter",4042233016,y,12-FEB-1974,2,4,0.99,13-SEP-1983
Beowulf,823,Anon,5664910761,n,01-APR-1978,0,12,2.99,16-MAY-2017
Best SF From New Worlds 3,823,Various,6609163138,y,02-OCT-1997,3,12,7.99,03-MAY-2007
Best SF From New Worlds 5,823,"Moorcock, Michael (ed.)",5334148661,y,30-NOV-2003,1,10,5.99,19-DEC-2005
Best SF From New Worlds 7,823,"Moorcock, Michael (ed.)",1439477998,y,07-DEC-2003,3,2,21.5,15-JAN-2008
Best SF Stories from New Worlds,823,"Moorcock, Michael (ed.)",0104194339,y,30-NOV-2003,3,1,7.99,16-FEB-2012
Best of Asimov,823,"Asimov, Isaac",0516532734,n,01-JAN-1976,0,4,1.99,16-MAY-2017
Best of British: Cinema and Society from 1930 to the Present,791.43,"Aldgate, Anthony and Richards, Jeffrey",8153905304,y,15-JAN-2000,2,4,7.99,19-NOV-2006
Best of New Worlds,823,Various,7592364283,y,01-SEP-1987,2,1,1.99,13-JAN-1989
"Best of Saki, The",808.3,Saki,8283259621,n,01-JAN-1988,0,2,4.5,16-MAY-2017
Between Heaven and Hell,813.52,Various,0811826941,y,01-JUN-1983,2,2,5.49,21-NOV-1988
Between Science and Values,501,"Graham, Loren R",052438243X,y,15-OCT-1995,2,1,5.99,01-JAN-2004
Between the Acts,823,"Woolf, Virginia",183203036X,y,01-JUN-1980,5,10,2.99,31-DEC-1989
Beyond the Grey Flannel Suit,809.3,"Castronovo, Facid",9446435352,y,21-JUN-2002,1,4,12.49,20-JAN-2012
Beyond the Occult,133.4,"Wilson, Colin",5671465898,y,03-NOV-1996,1,1,5.99,12-DEC-2000
Beyond the Outsider,820,"Wilson, Colin",5195747197,y,25-FEB-1998,1,2,5.99,26-SEP-2007
Big Breasts and Wide Hips,823,"Yan, Mo",0639880649,y,,4,4,,02-AUG-2015
Big Planet,823,"Vance, Jack",2054202688,n,08-JUN-2004,0,10,7.99,16-MAY-2017
Billion Year Spree,520,"Aldiss, Brian",7066185669,y,01-JAN-1987,2,2,1.99,20-MAR-1995
Biology of Computer Life,500,"Simons, Geoff",5702188837,n,01-MAY-1993,0,1,17.99,16-MAY-2017
"Birds, The and Other Stories",808.3,"De Maurier, Daphne",978-8452571048,n,27-MAR-2015,0,4,17.99,16-MAY-2017
Birdsong,823,"Faulkes, Sebastian",1230975492,y,01-MAR-1994,1,10,12.49,18-MAY-2002
"Birth of the New Physics, The",530.9,"Cohen, I B",2429632909,y,01-FEB-1978,2,2,0.99,20-APR-1986
"Birthday Present, The",823,"Vine, Barbara",978-6241221589,y,06-JUL-2011,3,4,5.99,15-MAY-2018
Bitteroot,823,"Burke, James Lee",5534688060,y,22-JAN-2002,5,2,12.49,23-AUG-2011
"Black Corridor, The",823,"Moorcock, Michael",5729671948,n,01-JAN-1976,0,1,2.99,16-MAY-2017
Black Easter,823,"Blish, James",9237352162,y,01-SEP-1981,4,10,4.5,09-MAY-1982
Black Holes,500,"Taylor, John",8356420015,y,01-JAN-1976,2,2,0.99,23-JUN-1981
Black Mass: Apocalyptic Religion and the Death of Utopia,306,"Gray, John",8574583697,y,15-NOV-1995,2,4,7.99,23-FEB-1996
Black Narcissus,823,"Godden, Rumer",6343546648,y,15-SEP-1995,4,2,5.99,15-APR-2005
Black Spring,823,"Miller, Henry",9808603190,y,01-MAY-1979,1,2,2.99,20-MAY-1981
"Black Swan, The",306,"Taleb, Nassim Nicholas",7251730565,y,,1,1,,05-NOV-2012
"Black Tower, The",823,"James, P D",5389966436,y,29-JUL-1997,2,4,5.99,19-JAN-2003
Blade Runner,809.3,"Bukatman, Scott",3634250115,y,03-AUG-1998,1,1,5.99,20-OCT-2006
"Blank Slate, The",500,"Pinker, Steven",9315071804,y,,1,4,,05-NOV-2012
Bliss,823,"Carey, Peter",978-7166897257,n,26-SEP-2008,0,10,12.49,16-MAY-2017
"Blood Doctor, The",823,"Vine, Barbara",978-6345163000,y,13-DEC-2007,4,1,17.99,29-FEB-2016
Blood Lines,808.3,"Rendell, Ruth",6634473729,y,24-MAY-2002,2,2,12.49,28-MAR-2009
"Blood Red Game, The",823,"Moorcock, Michael",5524046163,n,01-JAN-1976,0,1,0.99,16-MAY-2017
"Bloody Chamber, The",808.3,"Bates, H E",3543520343,y,03-MAY-2001,2,0,5.99,07-MAR-2008
Blue Mars,823,"Robinson, Kim Stanley",8557908991,y,13-DEC-1999,1,1,5.99,29-FEB-2008
Blueprint for Survival,577,Various,6620817094,n,01-FEB-1980,0,1,2.99,16-MAY-2017
Blueprint for Survival,577,Various,423321072X,n,13-DEC-1997,0,1,5.99,16-MAY-2017
Body Language: How to Read Others' Thoughts By Their Gestures,153,"Pease, Allan",7352731855,y,17-JUL-2002,2,0,7.99,24-MAR-2003
Bohemians: The Glamorous Outcasts,306,"Wilson, Elizabeth",978-5877056348,y,16-FEB-2008,2,1,5.99,04-MAY-2016
Bomb Culture,306,"Nuttall, Jeff",9633364668,y,01-AUG-1979,1,2,1.99,01-MAR-1989
Bonjour Tristesse,823,"Sagan, Francoise",978-8376197004,y,20-MAY-2013,4,1,17.99,15-MAY-2018
"Book of Babel, The",410,"Lewis, Nigel",6740831945,y,31-OCT-2001,1,4,21.5,23-APR-2007
Book of Friends,823,"Miller, Henry",0443892079,n,01-NOV-1982,0,2,2.99,16-MAY-2017
Book of Martyrs,823,"Moorcock, Michael",2321612682,n,01-FEB-1987,0,10,1.99,16-MAY-2017
"Book of Merlyn, The",823,"White, T H",4780244117,y,01-JAN-1992,1,1,5.99,19-MAR-2000
"Book of Paradox, The",823,"Cooper, Louise",937958388X,n,01-DEC-1978,0,1,2.99,16-MAY-2017
"Book of Visions, The",520,"Albery, Nicholas (Ed)",7398502793,n,01-JUN-1986,0,2,1.99,16-MAY-2017
"Bourne Identity, The",823,"Ludlum, Robert",8407673793,y,03-AUG-1998,1,10,7.99,03-MAR-2008
"Brain Takes Shape, The",153,"Martensen, Robert L",0085379113,y,02-DEC-1998,1,4,5.99,21-DEC-2000
Brave New World,823,"Huxley, Aldous",9221303607,y,01-JAN-1976,4,10,0.99,19-MAR-1984
Brave New World Revisited,824,"Huxley, Aldous",6099246389,y,27-MAY-1997,2,2,5.99,26-DEC-2006
"Breaker, The",823,"Walters, Minette",023783654X,n,15-NOV-2002,0,1,5.99,16-MAY-2017
Breakfast in the Ruins,823,"Moorcock, Michael",1622836046,y,01-JUN-1987,1,10,4.99,30-DEC-1996
Breakfast of the Champions,823,"Moorcock, Michael",6885039838,y,01-DEC-1986,3,10,4.5,01-JUL-1996
Breaking of Nations,320,"Cooper, Robert",0606681854,y,16-JAN-2003,1,2,12.49,16-AUG-2012
"Breaking of Nations, The",320.1,"Cooper, Robert",3007587517,y,10-JAN-2003,1,4,7.99,10-AUG-2012
"Bride of Science, The",500.9,"Woolley, Benjamin",4818059422,y,,2,2,,02-AUG-2015
Brideshead Revisited,823,"Waugh, Evelyn",978-8455640743,y,30-NOV-2014,4,4,5.99,15-MAY-2018
"Bridesmaid, The",823,"Rendell, Ruth",4814740757,y,01-AUG-1992,2,10,17.99,02-MAR-2002
Brief History of Mathematical Thought,510.9,"Heaton, Luke",3297792758,y,03-NOV-1996,2,1,5.99,04-JUN-2006
"Brief History of Time, A",500,"Hawking, Stephen",8789973496,y,01-APR-1991,1,4,17.99,30-OCT-2000
"Brief History of Tomorrow, A: The future past and present",335,"Margolis, Jonathan",5269150480,y,07-SEP-2004,1,2,5.99,24-NOV-2012
"Bright Lights, Big City",823,"McInnery, Jay",978-0647487664,y,30-MAR-2014,4,1,5.99,15-MAY-2018
Bright Young Things,904,"Maloney, Alison",1203250615,y,07-SEP-1998,1,4,21.5,12-JUL-2005
Brightness Falls,823,"McInerney, Jay",6849930853,y,14-JUL-2002,1,1,5.99,12-FEB-2012
Brighton Rock,823,"Greene, Graham",387065330X,n,01-MAR-1982,0,10,4.99,16-MAY-2017
"Brimstone Wedding, The",823,"Vine, Barbara",661318384X,y,24-NOV-2001,1,12,21.5,14-DEC-2003
Britain Can Take It,791.43,"Aldgate, Anthony and Richards, Jeffrey",6675247572,n,08-JUL-2000,0,4,21.5,16-MAY-2017
Britain's Weather,551.5,"Bowen, David",4954100966,y,01-JUL-1990,2,2,12.49,30-JAN-2000
Britannia,912,"Ogilby, John,  and Alexander Duckham",5610980348,y,,1,4,,09-FEB-2010
"British Cinema Book, The",791.43,"Murphy, Robert (ed.)",1140136240,y,20-JAN-2000,2,1,5.99,24-NOV-2006
British Cinema and Thatcherism,791.43,"Friedman, Lester (ed.)",7947128437,n,01-JAN-1995,0,4,17.99,16-MAY-2017
"British Genetic Journey, The",575.1,"Moffat, Alistair",6423881564,y,,1,1,,20-MAR-2014
"British Intelligence: Secrets, Spies and Sources",353.1,"Twigge, Stephen,  Edward Hamphire, Graham Macklin",978-4067835032,y,01-JAN-2011,1,1,17.99,15-MAY-2018
British Science Fiction Cinema,791.43,"Hunter, I Q",8392337830,y,25-APR-1997,2,2,17.99,24-NOV-2006
British Society 1914-45,941.082,"Stevenson, John",8328970330,y,14-MAY-1998,2,4,17.99,31-JUL-2006
British Society Since 1945,306.09,"Marwick, Arthur",1640689248,y,12-DEC-1998,2,2,7.99,07-SEP-2001
Britons: Forging the Nation 1707 - 1837,941,"Colley, Linda",1812920501,n,01-DEC-2002,0,1,5.99,16-MAY-2017
Broken Harbour,823,"French, Tana",9828724177,y,01-DEC-1994,3,2,5.99,17-FEB-2003
"Brothel in Rosenstrasse, The",823,"Moorcock, Michael",0603317027,n,01-NOV-1988,0,1,4.5,16-MAY-2017
Brunel,624.92,"Rolt, L T C",6060075912,n,01-MAY-1987,0,0,4.99,16-MAY-2017
Bug Jack Barron,823,"Spinrad, Norman",0935187471,y,10-OCT-1981,1,12,1.99,27-DEC-1989
Bully for Brontosaurus,570,"Gould, Stephen Jay",9086482636,y,01-APR-1992,1,4,7.99,18-JUN-2000
Bureaucracy,300,"Albrow, Martin",0142702474,n,01-APR-1978,0,0,1.99,16-MAY-2017
Burning Chrome,823,"Gibson, William",978-3414047218,y,22-DEC-2008,1,12,5.99,11-JAN-2011
"Burnt-out Case, A",823,"Green, Graham",978-1124858242,n,04-FEB-2014,0,1,12.49,16-MAY-2017
"Business, The",823,"Banks, Iain",978-7009772797,y,04-AUG-2011,2,1,5.99,12-SEP-2015
C G Jung: The Haunted Prophet,150.9,"Stern, Paul J",5959560068,n,18-OCT-1999,0,4,12.49,16-MAY-2017
Cabal,909,"Dibden, Michael",3608490719,y,29-SEP-2004,2,4,5.99,04-AUG-2011
"Calendar, The",520,"Ewing Duncan, David",5479817011,y,01-FEB-1994,2,4,5.99,20-APR-2002
Cambridge Companion to Mary Wollstonecraft,809.4,"Johnson, Claudia L",1856194558,y,02-OCT-1997,1,0,21.5,19-DEC-2005
"Cambridge Quintet, The",500.9,"Casti, John L",809173545X,y,16-OCT-2002,1,4,12.49,16-MAY-2012
"Cambridge Social History of Britain, The: Vol 2 People and Their Environment",900,F M L Thompson (Ed.),8702034638,n,15-SEP-1999,0,2,21.5,16-MAY-2017
"Camomile Lawn, The",823,"Wesley, Mary",978-3175664085,y,12-MAR-2009,1,4,5.99,01-APR-2011
"Can Book, The",780.92,Busey and Hall,2693875680,n,01-DEC-1989,0,4,1.99,16-MAY-2017
Can You Speak Venusian?,1.9,"Moore, Patrick",6243129436,y,30-JUL-1996,1,1,12.49,16-OCT-2004
Candide,823,Voltaire,9645133470,n,01-JUL-1992,0,1,21.5,16-MAY-2017
"Canticle For Liebowitz, A",823,"Miller Jr, Walter J",4976168193,y,01-JAN-1979,3,1,0.99,05-NOV-1985
"Capitalism, Socialism and Democracy",321,"Schumpeter, Joseph",7447552377,y,,2,0,,05-NOV-2012
Capitalism: A Very Short Introduction,330,"Fulcher, James",978-0755265500,y,07-SEP-2015,1,4,21.5,15-MAY-2018
Carnage and Culture,355.94,"Hanson, Victor Davis",978-0769618568,y,20-FEB-2016,2,4,17.99,15-MAY-2018
Case Histories,823,"Atkinson, Kate",978-8155435891,y,29-DEC-2015,3,4,21.5,15-MAY-2018
"Case of the Midwife Toad, The",600.9,"Koestler, Arthur",8656932078,y,01-MAY-1995,1,2,7.99,29-NOV-2004
Cashel Byron's Profession,823,"Shaw, George Bernard",3818082853,n,01-JAN-1978,0,1,0.99,16-MAY-2017
Cassandra's Daughter,154.2,"Schwartz, Joseph",2661221313,y,,1,1,,20-MAR-2014
"Castle, The",823,"Kafka, Franz",0599015481,y,01-AUG-1979,1,4,1.5,18-OCT-1987
Cat Karina,823,"Coney, Michael",5231547437,y,24-JAN-1998,2,1,5.99,25-AUG-2007
Cat and Mouse,823,"Grass, Gunter",5342227265,n,01-APR-1978,0,10,0.99,16-MAY-2017
Cat's Cradle,823,"Vonnegut, Kurt",126883216X,y,01-APR-1983,1,12,4.5,30-OCT-1992
Catch-22,823,"Heller, Joseph",5090614345,y,01-JUN-1980,4,1,1.99,31-DEC-1989
"Catcher in the Rye, The",823,"Salinger, J D",3817571366,y,01-SEP-1978,5,12,1.5,06-JUL-1985
Celtic Myth and Arthurian Romance,398.2,"Sherman Loomis, Roger",978-479452228X,y,13-JUL-2009,1,4,5.99,29-SEP-2017
"Celts, The",940,"Delaney, Frank",642528928X,n,24-MAR-1996,0,2,17.99,16-MAY-2017
"Celts, The",305.8916,"Chadwick, Nora",2738474734,y,29-NOV-1996,2,2,5.99,30-JUN-2006
"Centaur, The",823,"Blackwood, Algernon",978-6486476523,y,25-OCT-2007,4,1,5.99,29-AUG-2014
"Century of Revolution, The: 1603-1714",909.07,"Hill, Christopher",706035804X,n,25-JUL-1997,0,1,5.99,16-MAY-2017
"Ceres Solution, The",823,"Shaw, Bob",0722332443,n,01-MAR-1987,0,1,1.99,16-MAY-2017
"Chain of Chance, The",823,"Lem, Stanislav",3289459298,n,13-MAR-2001,0,12,5.99,16-MAY-2017
"Chalk Giants, The",823,"Roberts, Keith",0777667188,n,01-AUG-1983,0,10,1.99,16-MAY-2017
