Length(cm),Mass(g)
13.06,127.8101103
15.54,173.2482801
14.44,176.2972184
11.98,114.3725676
15.58,145.928555
13.61,150.5400726
10.67,114.1507243
11.34,117.3715761
10.13,88.42765843
12.47,123.0037823
13.66,141.9478889
9.9,110.3683077
14.22,130.0927094
13.8,123.334946
13.33,132.4066708
13.48,126.172331
17.34,155.8639468
10.72,104.3044757
12.11,114.1811636
13.07,143.7518398
10.41,91.33913748
11.2,116.115588
15.18,169.1454463
12.92,107.3294166
12.3,115.313023
13.58,156.5097212
14.71,155.4301587
10.81,104.4806081
12.22,128.9302882
14.48,150.7927349
13.3,136.0970845
14.06,143.9066486
12.62,128.4748861
13.39,135.8873857
17.1,177.7481443
13.3,144.8895771
15.89,150.1676394
16.04,147.488031
15.56,173.7741099
16.53,181.4085067
11.92,128.7233351
14.46,155.3711595
14.71,151.2345595
14.36,139.9613549
17.78,150.8588791
14.65,161.0990101
13.81,149.9648158
12.44,120.1470838
15.62,183.8406131
12.12,120.7132515
14.83,148.9306604
15.96,180.3067272
13.11,130.414701
12.85,140.7264432
15.1,159.3175078
13.38,123.4434147
12.05,112.6614912
13.45,139.9848709
13.02,125.9067201
14.03,149.0809509
17.23,149.3921952
11.44,100.9947247
13.62,128.240146
15.29,140.5890145
17.02,198.6613444
13.73,127.4084969
13.08,141.9880197
12.34,134.323325
11.64,108.5331134
14.44,151.5219432
14.72,136.4997656
12.75,128.2222021
14.75,132.6916645
12.36,126.6289344
13.95,132.4992377
14.24,137.697499
12.49,111.4407099
13.38,145.3076423
15.89,160.7704564
12.71,127.4370056
14.66,142.1056153
15.5,168.8804102
14.88,150.3403579
15.41,177.1239774
14.01,136.0013924
14.18,142.6967666
13.43,116.9795218
13.64,149.6435042
13.98,144.8242234
13.31,146.3707093
11.95,108.1268559
14.99,143.482044
14.11,170.6586166
12.19,146.4229138
15.61,163.6666801
12.5,151.9775914
15.35,141.4747709
14.59,139.4357908
9.63,88.9363587
14.6,155.6117994
14.83,138.5105055
14.29,156.7269284
18.63,193.9099286
17.12,138.8030076
12.97,118.5074437
16.5,162.65279
14.03,156.809086
14.1,181.7503053
14.53,146.7768134
16.1,168.6563269
13.53,150.7059578
14.28,127.0586235
16.44,156.1065093
15.66,154.7043995
10.96,103.8615554
11.74,109.8559536
13.34,135.0477993
14.06,137.2177646
13.12,125.3537067
11.09,118.7845707
14.86,179.4764907
17.48,151.2090158
15.66,144.8741865
14.63,119.9277455
15.9,146.3667123
13.95,110.8774495
14.28,142.887423
14.83,129.0756321
12.87,142.2541232
17.39,193.0736349
18.61,144.1334876
12.74,140.0943658
13.21,116.8332886
15.32,151.3328383
16.75,183.4811815
13.1,112.3010684
11.91,132.9649341
12.93,108.7633748
14.3,151.2008997
15.94,176.5411477
15.04,158.6712564
11.58,116.0071122
12.35,135.2078137
15.04,160.6073499
15.2,167.8456104
13.94,139.8852323
13.73,102.4481673
14.17,116.4891954
16.78,145.8750117
16.88,137.652614
14.64,167.8899676
12.8,149.5134277
13.59,120.3514103
15.45,140.2421724
13.89,146.1839671
11.06,102.3439848
17.09,181.6566504
12.11,113.8311665
13.54,124.7957688
13.21,98.10383396
16,150.7780886
10.89,114.9117265
15.8,161.1900595
13.76,135.3673046
16.16,164.6192199
16.54,173.0278867
11.83,139.7782026
12.32,132.5833271
11.69,98.24895283
17.07,167.0752308
17.16,161.5857451
13.1,114.820575
12.14,123.3861644
13.82,153.1953672
14.75,148.9548618
11.58,126.7597875
11.07,108.4708849
17.11,177.6141527
14.19,143.3262922
13.13,147.5941595
11.79,124.4327121
15.33,174.2320013
14.47,154.8026369
17.84,158.3630919
14.14,142.5976057
16.08,134.9405002
11.99,138.1319741
11.1,106.9851299
13.59,117.2837389
11.28,125.4788911
14.71,133.2449086
13.2,126.9759621
14.11,139.9663973
15.14,143.3044109
12.34,128.0558469
11.67,109.1157178
17.94,203.020182
11.68,109.0391225
13.46,137.5571548
14.69,125.80406
13.12,130.7136239
14.04,119.1347211
16.29,156.2426347
18.89,191.3465273
10.67,104.5942882
14.62,147.6734067
15.56,132.9518406
12.61,133.8132417
16.87,159.892676
17.28,187.6686038
13.23,150.8082922
14.54,173.7174337
18.15,192.3957008
17.26,151.3644496
17.1,166.7991966
13.9,115.2160654
15.12,135.3680389
15.3,149.3234622
14.83,152.9232276
12.9,118.4027641
11.59,95.70497509
17.05,155.2605924
13.85,157.9535643
11.45,107.5692074
11.08,121.9437558
8.87,112.0573521
11.87,127.0156907
11.01,110.6075106
16.3,135.1447174
14.87,161.9127799
16.15,178.4288092
13.76,139.6293894
15.31,163.5395342
13.89,131.7583651
14.26,127.9413662
13.44,130.9715712
12.84,102.0186158
14.16,139.1317688
13.35,120.8807268
12.01,124.6276092
13.81,170.577267
15.05,145.8955517
12.38,116.3030311
18.76,192.7722123
14.71,123.7959092
9.27,110.1891938
14.83,128.0521122
15.44,173.478753
14.76,156.0952563
14.74,150.0811668
14.59,153.0813035
10.28,125.651175
13.6,133.5992458
13.81,141.2222224
13.56,151.055153
16.16,148.4374222
13.69,116.8864535
13.37,145.2401826
14.47,148.0086684
14.94,168.1876206
16.98,169.9388079
18.31,179.5919543
10.43,88.21066355
15.6,151.6513131
14.45,147.5676098
14.21,137.8516472
18.64,209.5740273
15.76,148.7954896
14.77,129.8233106
13.77,117.6622186
13.64,105.5061818
16.93,171.5990326
12.53,131.6127298
16.09,125.2872307
12.91,138.4554643
14.11,138.9321617
10.77,106.6484771
12.65,130.2173848
16.37,185.7268907
10.57,133.2875203
13.42,125.319158
12.96,126.6150047
14.13,138.9979001
14.79,139.1074279
16.03,158.9443716
16.1,157.0187188
14.98,139.5785195
14.93,144.9970381
13.43,149.2899333
12.23,131.1000561
16.31,171.6772153
16.62,154.2032243
16.19,165.378545
17.27,173.0319246
14.76,149.7077259
13.63,140.936221
14.99,149.5239145
15.25,144.2989079
10.04,106.5079138
14.29,139.4947219
14.53,131.8867012
12.5,137.8442305
15.5,144.3151732
12.63,141.756005
15.88,136.5020059
13.72,137.1143361
12.07,118.760444
13.81,109.3864584
15.73,141.5048267
13.1,116.1971864
9.28,111.0620897
14.61,178.8362454
15.05,158.0454077
12.85,134.9120068
11.99,106.1079695
11.66,125.6977625
13.74,149.1504521
13.25,105.5005896
11.98,126.4911374
11.45,115.0757476
18.31,190.7806176
14.58,162.036122
14.94,140.1733656
12.67,120.2882372
12.88,119.8700398
15.66,162.1570992
11.5,124.317246
13.32,109.7022731
14.81,120.891724
16.11,173.4900402
13.16,98.73823918
11.65,120.6217745
14.83,169.4115259
14.83,118.3200453
12.48,107.3371782
14.89,112.3003515
13.39,109.13973
15,138.2997989
12.74,123.4255613
13.75,137.4801911
16.21,151.871338
14.99,128.0038167
11.68,133.2132915
16.28,191.740946
10.33,105.9080516
14.21,118.0960649
15.91,145.4687679
9.99,91.70381821
14.63,148.6716633
13.9,138.3954192
10.94,100.4582005
14.76,159.3922029
13.51,114.0449932
18.93,190.9828482
13.91,155.852019
14.19,169.8204295
12.98,124.7539714
10.34,104.6742734
14.85,137.430269
15.21,136.1071339
11.31,106.2081305
13.04,154.7016904
14.38,137.2487036
13.16,108.6367665
12.13,111.4876779
14.25,136.431212
15.62,161.2260465
13.97,121.1216535
14.67,169.8086211
14.11,133.561348
10.43,114.6514332
10.96,130.3286839
13.76,124.7448474
14.85,160.8353865
14.67,140.3186941
19.05,185.0583579
16.03,178.0275539
13.89,156.8568562
13.97,162.2877155
14.1,135.529385
13.34,125.4248303
14.13,157.5791033
13.08,114.9332449
18.36,201.397079
10.76,97.7378184
15.38,156.2996997
12.09,136.0668096
17.08,181.9796994
15.17,146.7581638
13.52,146.4334737
18.23,197.0619719
12.93,150.3346078
12.17,126.1267835
12.12,129.1093073
12.77,125.8053568
15.06,159.5849936
11.31,123.0095145
15.38,162.5258966
16.14,172.6266426
12.71,104.9925413
12.16,120.2151975
13.76,116.5456822
14.57,150.7379771
11,110.3947035
13.87,153.8619781
12.52,126.4085894
10.45,101.2339354
16.38,154.6364851
15.13,143.3650608
15.52,149.9797041
13.21,140.0709695
13.2,152.0661175
15.99,147.7466826
13.71,154.3746109
14.35,120.7304563
16.22,167.8396655
14.48,149.3442727
15.41,146.3258376
15.63,149.7163622
14.11,143.2690151
15.2,146.8102888
12.77,114.643582
12.81,127.4690402
14.46,149.1938484
11.83,110.6632695
16.99,175.727515
14.27,154.5003952
12.06,108.985958
15.02,149.3899348
12.18,134.7718872
11.99,110.8169741
15.08,158.8454577
12.71,142.6883769
9.56,80.55540407
12.83,122.2184817
14.56,149.1520213
15.67,172.4083565
13.24,129.5733125
14.25,164.8705191
14.01,132.1252611
13.52,127.8674041
14.25,128.899716
15.93,155.5088633
13.45,144.3510696
14.52,136.2445394
14.11,159.2546204
13.12,133.8922335
12.78,126.0190859
16.09,164.687528
11.77,127.5765805
12.19,148.2421668
17.92,222.8326754
13.67,142.1219112
14.44,145.7180232
15.3,168.9387844
14.38,174.4293159
13.06,125.9919971
13.76,103.7124396
14.59,150.8640418
13.41,129.6444509
13.36,128.0330232
11.78,106.8701223
13.38,107.7280442
9.88,86.82209833
16.05,156.1570888
14.98,150.9021576
12.09,114.0699197
12.66,118.3363174
13.92,114.2242867
14.73,144.9052791
13.42,133.8933785
14.07,139.9783115
16.19,167.9319608
12.87,123.3199022
12.99,126.402084
13.54,111.2061832
11.78,128.6754876
15.1,134.5149588
15.97,177.1011219
12.54,128.0481232
15.58,158.7051101
13.96,127.0649227
13.06,111.3711693
15.42,150.5523542
16.07,191.3507234
15.2,157.6048306
14.31,164.1402198
13.41,117.9503293
11.65,122.3462508
14.91,124.4618829
12.05,118.1706925
15.74,127.8504407
11.41,113.4457075
10.81,101.0174915
14.68,143.1555631
15.44,132.4780541
13.78,130.1421846
15.28,161.6669172
17.38,165.9701481
12.49,131.2472488
11.35,114.2432976
12.36,107.253941
17.66,186.1659367
17.44,182.7757102
12.21,134.1540059
11.3,101.5818811
14.83,163.1976228
13.86,131.852036
18.46,196.9740444
12.1,126.2706381
13.86,165.636695
14.91,145.3720507
12.81,122.698032
17.36,204.0395762
13.53,119.3961686
17.12,157.1618322
12.4,121.848949
15.22,148.6916516
12.35,112.7774441
8.77,96.67436211
14.56,153.0401503
15.47,186.4419966
12.14,130.1776761
16.53,144.1038696
14.79,151.6669561
14.01,158.0973673
14.98,154.4472342
12.59,133.3168692
11.92,126.4254552
14.49,145.1253656
13.35,122.1208652
13.94,162.4832008
11.97,116.5751074
11.43,93.5440549
14.59,126.2631542
13.36,128.4326588
15.53,153.0437431
17.91,161.7757544
14.87,161.3186076
13.14,122.3939285
14.57,134.091255
15.03,157.122528
10.65,91.40488571
17.72,178.7156352
14.75,134.4133233
13.28,132.3174179
12.67,123.378389
11.67,119.893218
15.19,164.3234224
16.04,157.0488591
13.39,130.1870673
12.85,119.3587463
10.84,119.5121684
15.05,183.3495086
14.31,138.9157567
10.81,119.5128081
11.33,121.6765248
14.32,173.4405869
9.05,71.36224456
14,139.7996506
11.67,114.9090706
15.78,155.6034226
11.72,121.6296784
14.99,152.3316674
12.67,126.4335658
14.78,158.9047836
14.52,140.9656896
13.11,151.7392969
11.82,109.9693118
11.93,119.3549137
15,159.9954796
17.12,169.8539032
17.97,169.6305957
14.91,162.0203183
14.71,140.6373921
17.06,157.052145
15.45,149.0432918
13.99,161.2592048
11.63,116.4754865
13.94,125.925588
14.12,125.5342254
12.39,106.8840243
11.62,81.21491855
16.28,159.4355008
16.26,179.5838109
10.13,106.3376611
10.4,108.4273191
14.13,115.4995779
12.92,145.8380594
12.85,124.0480093
11,108.0092411
10.97,89.95831556
14.15,162.4951086
13.82,115.7646237
14.91,130.3962293
17.05,147.75326
12.38,121.7128122
11.78,121.4093235
10.97,108.1063071
15.91,185.9229687
12.76,133.4245946
16.02,170.7800076
11.04,112.3785188
12.62,133.2087979
12.82,127.9032684
18.88,192.7289724
14.78,143.8034142
8.21,92.79393374
13.95,117.8364387
14.3,128.4021588
13.55,135.7478987
13.8,133.4490227
12.77,138.5759032
14.42,122.7985614
14.62,148.8840324
15.21,139.1685393
12.96,128.5752934
13.99,127.7715841
11.48,114.8405565
14.41,139.7176812
14.02,119.0664471
16.05,150.0026579
16.77,169.0501059
12.51,116.113248
8.91,90.90509151
18.99,183.1418213
14.93,139.0243115
15.02,165.410814
12.15,122.3225456
13.59,139.6511249
15.65,127.6511642
11.46,125.2943306
14.25,131.4221929
15.89,169.7556881
11.76,127.6248433
16.11,152.1459935
13.96,140.9062317
12.85,140.5795157
12.92,117.6434011
11.86,133.1255748
18.11,204.167088
12.66,127.0674728
12.98,143.5082488
16.1,150.1086822
8.29,79.40187677
16.2,154.4906792
14.23,152.4820346
13.22,120.0363599
15.78,141.5595074
14.7,141.9245361
16.39,192.9748057
17.38,163.906206
10.52,110.5721142
14.81,136.3409302
16.06,150.999448
16.06,164.7511433
13.92,150.3295845
15.4,164.0204327
11.74,116.9771913
15.63,131.3430211
13.46,140.5792193
17.7,196.3600003
12,133.0308016
14.71,133.5378681
13.16,131.4172374
13.21,159.3486277
18.05,193.6366497
12.35,126.8661029
11,111.8999473
11.48,123.317927
13.4,130.7801111
13.69,126.1027191
13.14,127.2833869
14.73,151.9381472
8.36,71.27372135
11.87,118.678844
9.77,106.5006624
10.29,102.780552
12.74,132.3657291
12.95,132.8826419
11.52,106.0343044
13.53,153.8477236
13.27,137.6085229
14.86,154.5101161
14.84,145.5540843
15.71,142.2241664
17.43,155.9993445
18.31,182.49881
14.69,151.2271041
16.44,169.516554
14.32,123.4616724
14.78,136.2129785
10.32,100.5760507
16.29,124.1179821
17.92,201.4181156
14.53,169.2804033
16.2,156.1357669
12.58,110.1077813
15.82,174.0986645
10.74,123.3102425
11.9,118.7050835
11.66,120.871454
16.55,180.5357487
14.68,155.4746504
13.98,137.4086871
12.44,123.0619497
15.81,140.2877665
18.38,164.1956545
12.24,102.2293054
13.74,143.5237492
15.62,146.2025465
11.47,113.5255516
14.79,170.0217772
12.12,103.5019606
12.28,109.8270705
13.25,132.6965026
15.65,159.5677575
19.45,190.8446947
12.19,128.0357065
9.48,97.38891604
14.41,131.9887707
11.19,96.41223478
13.58,132.2115628
15.73,181.5286803
14.95,140.8498497
12.99,143.2052736
15.01,138.2369097
13.08,102.3698184
9.25,79.25178679
13.27,120.0552488
13.54,129.7129118
13.84,132.8983014
14.69,135.267849
12.36,121.0605524
13.52,157.7002934
14.18,137.2443117
14.36,140.0463726
14.24,162.1289622
15.31,153.1673967
13.97,151.1893127
13.91,113.8919501
17.65,184.4269788
15.59,144.6214817
11.87,134.4048432
14.35,126.3117589
15.15,157.6635245
17.4,134.5396768
16.48,169.2781144
13.05,116.9309853
11.76,119.3537596
17.35,184.5342204
14.16,167.9467747
14.96,157.4760558
17.32,172.5847374
14.4,151.1245656
14.3,151.0326817
14.39,146.3107399
13.8,123.812417
17.14,164.040329
14.78,136.7684474
13.76,146.1829737
12.58,148.4062271
15.94,155.3923039
17.64,167.4585064
16.6,168.9029899
16.23,162.3804044
15.22,140.1196429
10.54,79.69452314
12.58,116.7908306
14.82,150.6139269
13.49,117.2138149
14.26,155.363306
15.58,145.8604559
11.81,125.7467683
16.21,157.9311058
10.93,102.0621737
10.55,99.61896856
15.28,161.8636239
16.58,157.1817267
9.08,90.12886129
15.22,138.5440616
13.54,147.0190865
12.55,131.9426274
14.77,151.2633004
13.59,139.2651252
13.76,142.0374706
12.02,123.1062297
13.31,108.8520088
16.27,172.1219737
14.94,149.281158
16.51,126.7297825
11.71,94.41762374
12.71,156.1699236
12.11,110.8133496
10.44,115.5506247
16.46,142.649778
12.65,143.1568321
15.26,140.1386541
12.76,128.4907948
16.79,161.9121112
14.11,129.092438
14.9,148.9638611
12.23,106.2086383
14.39,133.0647284
12.92,137.0570787
15.47,139.8662073
12.12,105.5882669
13.14,145.5989447
15.75,114.031494
11.98,122.5586309
12.91,129.4101921
12.1,115.1745348
12.53,110.2805486
16.1,164.3940851
14.03,155.370268
11.84,110.7861448
14.1,137.1551893
15.93,177.0270907
16.22,193.9189819
13.13,130.0950883
15.86,148.3529766
14.54,141.4747707
16.71,186.895196
11.63,116.8972088
12.89,121.3100304
14.74,158.3104885
13.78,159.3410642
16.13,143.3409443
14.28,161.6828518
17.07,168.309109
11.34,132.483258
13.87,112.5890812
13.31,172.153222
15.41,151.0407928
14.26,148.3237599
14.97,161.2794411
12.62,144.6932916
11.59,122.7626572
16.55,158.0122764
14.05,146.0762148
15.03,184.1073955
13.1,143.2552619
9.39,101.7148583
13.63,120.9780183
12.75,128.9937058
13.48,133.2670075
14,150.7144095
13.15,133.5307549
11.51,106.6200731
14.14,140.3907876
14.93,126.2784357
14.77,165.4234626
15.97,164.3937574
13.69,146.0154452
19.18,197.8653606
13.88,143.3678703
13.96,146.1079836
14.39,129.255619
14.37,168.6169018
13.21,156.8937898
15,150.9300825
12.42,134.1722842
15.37,163.8385893
13.27,142.2368389
12.86,124.1589655
14.46,152.2725751
9.8,103.2888543
13.09,156.3419204
13.81,132.1223027
16.82,147.5537728
15.69,133.6939327
12.86,147.5526695
16.87,201.3262104
9.1,104.5635922
14.69,150.0240681
13.01,133.1851464
