ShotId,PlayerID,distance_feet,angle,firstName,lastName,height,weight,position,Score
165,75,18.2,5,Kevin,Lunsford,201.7,101,SF,1
166,525,24.5,33,Jalen,Winston,207.2,104.5,PF,0
171,817,25.8,1,Antonio,Artis,210.6,104.2,PF,0
172,541,19.2,11,Hamadi,Sherer,220.1,110.7,C,1
173,5,15.8,6,Terrell,Sidberry-White,201.9,100.3,SF,1
174,462,21.7,3,Peter,Juarros,219.9,110.4,C,1
177,653,17.9,22,Devundrick,Pier,215.1,105.7,PF,0
179,543,21.1,4,Kameron,Littlejohn,206,104.1,PF,1
182,936,23.5,7,Dalton,Corder,217,107.5,C,1
183,709,18.1,25,Yonael,Kiflom,190.6,93.4,SG,0
185,23,16,9,Jerricoe,Mcclelland,187.3,93.8,SG,1
189,89,23,2,Marc,Idlett,198.4,99,SG,1
190,835,14.6,9,Damiane,Sena,197.9,97,SG,1
191,399,20.4,7,Dominique,Mclean,198,98.4,SF,0
192,686,18.6,3,Cody,Orr-Scheel,207.8,103.3,PF,1
193,190,16.9,0,Blaine,Weaver,217.6,108.3,PF,1
195,467,21.4,5,Quireace,Yussufu,211,105.5,PF,1
198,884,18.2,0,Cody,Marquez,190.8,96,PG,1
201,284,23.5,7,Nickolas,Moran,220.2,110.5,C,0
203,756,23.7,24,Jacob,Dodero,222,109.9,C,0
204,442,21,38,Alexander,Mcbrien,225,111.6,C,0
205,560,18.7,1,Sean,Smiley,194.1,97.1,SG,0
206,436,11.5,5,Kevin,Allenbaugh,199.7,101.2,SG,1
207,649,19.5,1,Gregory,Wilson,190.8,94.8,PG,1
211,909,21.2,55,Marcus,Johnson,191.6,95.8,SG,0
212,629,18,4,Marcus,Brown,220.6,109.3,C,1
214,510,13.3,5,David,Shakin,196.6,98.2,SG,1
218,722,20.2,7,Jacob,Bridges,198.2,99.3,SF,1
219,262,24.3,1,Michael,Hall,209.1,103.6,PF,1
224,568,28.8,15,Nicholas,Martin,190.8,96,PG,0
226,127,17.3,0,Roman,Wright-Jackson,199,99.2,SF,1
227,692,21,4,Andrew,Mcomber,190.8,95.5,PG,1
228,372,17,9,Sean,Morris,211.2,105.2,PF,1
232,1,23.8,5,Terell,Moore,219.8,110.9,C,0
233,443,17.8,9,Dante,Sherrod,206.9,103.4,PF,1
236,524,22.3,4,Colby,Nible,211.5,105.6,PF,1
237,407,9,25,J'Azmin,Molock,207.3,104.2,SF,1
239,244,24.9,1,Torrence,Wald,190.8,95.1,PG,0
244,649,24.8,12,Gregory,Wilson,190.8,94.8,PG,0
246,970,17.6,1,Alexander,Galvin,198.9,98.8,SF,1
247,352,23.1,4,Alexander,Bear,215.1,107.7,C,0
249,897,23.4,6,Andre,Lucas,208.5,103.2,SF,1
250,475,17.3,22,Juwan,Sentino,199.2,101,SF,1
253,553,18.1,24,Marcellus,Pennington,192.4,95.2,SG,1
254,221,24.2,33,Harry,Robinson,199.8,100.1,SF,0
261,699,22.5,2,Matthew,Starling,190.8,95.5,PG,1
263,620,16.8,14,Alec,Van Deren,195.5,97.5,SF,1
264,53,23.4,18,Javan,Hoell-Dixon,195.1,99,SG,0
267,952,10.3,13,Keenan,Wortman,197.2,99.1,SF,1
269,89,26.5,2,Marc,Idlett,198.4,99,SG,1
273,7,20,20,Hudson,Trotman,216.3,108.6,C,0
276,362,23.6,31,Shane,Kapushion,190.8,94.3,PG,0
277,389,17.7,26,Charles,Stewart,195.7,97.2,SF,0
279,419,23.1,19,Keynon,Stokes,212.7,108.2,PF,0
280,754,16.1,0,Ryan,Klingensmith,193.7,96.3,SF,1
283,415,24.5,4,Antonio,James,215.4,108.3,C,0
284,556,18.6,3,Christian,Simmons,212.8,105.1,PF,1
285,127,23.7,13,Roman,Wright-Jackson,199,99.2,SF,0
286,544,13.2,12,Benjamin,Ball,196.3,97.4,SF,1
287,456,25.6,8,Chad,Bodlak,215.4,107.3,C,0
289,705,17.8,17,Isaiah,Martin,211.5,105.3,C,0
291,981,20.9,2,La'Quan,French-Stegall,204.2,102.7,SF,1
296,727,21.5,21,Jacob,Williams,190.4,95.3,SG,0
299,757,18.6,36,Oshay,Spicely,199.8,100.2,SF,0
300,525,19.4,6,Jalen,Winston,207.2,104.5,PF,0
304,605,9.7,8,Malcom,Johnson,194.8,97.2,SF,1
307,681,25.1,6,Devin,Brandon,201.4,100.3,SF,0
309,869,17.8,5,Galen,Hudson,191.3,97.1,SG,1
311,552,24.3,0,Anthony,Bannon,196.8,98.4,SG,1
313,620,19.9,4,Alec,Van Deren,195.5,97.5,SF,1
314,137,27.2,48,Eugene,Ba,215.7,106.1,PF,0
315,282,22.6,22,James,Sternberg,190.8,95,PG,0
317,760,21.3,15,Lucas,Hentges,199.1,98.6,SG,1
319,877,17.6,20,Darrell,Lovett,202,99.9,SG,0
320,134,14.4,26,Cade,Valentine,219.9,108.2,C,1
323,790,22.5,0,Garrett,Pugh,190.8,94.7,PG,0
324,624,18.6,6,Tyler,Rillings,221.7,109.9,C,1
325,429,22.9,16,William,Mack,190.8,94.9,PG,0
327,446,17.5,12,Jonathan,Matz,190.8,94.6,PG,1
329,30,25.7,40,Jordan,Trubowitz,200.7,100.6,SF,0
332,728,20.3,5,Dominik,Craig,190.8,95.2,PG,0
334,712,19.4,7,Joshua,Mudick,196.9,97.8,SG,0
335,502,15.9,9,Zachary,Fiscus,202,101.7,SF,1
337,145,23.6,17,Daud,Forrest,190.8,93.8,PG,0
339,663,21,41,Bishop,Emanuel,216.9,109.3,C,0
340,891,18.8,6,Quincy,Blackwood,196.4,99.5,SG,1
341,204,20.1,9,Noah,Rackley,190.8,94.6,PG,0
342,509,21.5,40,Laquan,James,205,102,PF,0
344,576,16.5,7,Brandon,Fair,199.3,101.3,SF,1
348,72,16.2,1,Russell,Johnson,188.4,92.7,SG,1
349,848,18.7,16,Ryan,Martin,190.8,93.2,PG,0
350,870,22.7,12,Dawson,Vincent,212.9,105.9,PF,0
351,230,27.7,18,Trevor,Klaes,190.8,95.8,PG,0
354,925,20.9,44,Johnathan,Penn,208.7,105.7,PF,0
356,368,14.5,11,Morgan,Friedrich,190.8,96.8,PG,1
357,748,20.1,9,Michael,Harsen,202.3,101.6,SG,0
358,16,19.8,21,Ryan,Oldham,190.8,95.3,PG,0
359,32,20.9,6,Ryan,Bodendorfer,192.5,96.4,SG,1
360,265,18.6,11,Kentuan,Bozeman,190.8,97.7,PG,0
363,703,10.6,38,Benjamin,Watkines,201.5,100.7,SG,0
365,821,17.1,1,Gavin,Shepard,225.2,113,C,1
368,829,13.1,8,Chilord,Cordova,209.8,103,PF,1
374,818,17.6,13,Ryan,Ravan,202.7,100.4,SG,1
375,360,16.6,2,Troy,Schurr,190.8,93.9,PG,1
376,957,13.5,41,Orlando,Lightner,211.7,106.9,PF,1
381,142,19.8,2,Joshua,Frenking,217.1,108.3,C,1
382,877,22.8,3,Darrell,Lovett,202,99.9,SG,1
384,72,20.9,39,Russell,Johnson,188.4,92.7,SG,0
385,578,24.4,14,David,Irish,216.7,107.3,C,0
386,673,20.3,6,Javon,O'Hara,210.3,105.6,PF,0
387,611,22.6,20,Temitayo,Carter,203.5,101.8,SF,0
393,556,20.2,24,Christian,Simmons,212.8,105.1,PF,1
394,738,24.5,10,Thomas,Beck,190.8,95.1,PG,0
396,570,21.3,22,Jeremy,Blanc,215.1,105.4,C,0
397,36,13.6,6,Cole,Ramsey,208.2,105.5,PF,1
399,430,13.8,2,Mitchell,Muelling,222.1,111.1,C,1
402,444,24.5,3,Dustin,Memmer,203.9,100.7,SF,0
403,753,24,5,Arvilla,Wantings,211.5,105.7,PF,0
405,877,19.8,0,Darrell,Lovett,202,99.9,SG,1
409,603,20.2,24,King,Donnell,196.6,97.6,SG,0
414,378,30.1,4,Sean,Minner,221.5,111.1,C,0
415,463,22.4,30,Dante,Burnett,196.3,101.5,SG,0
418,912,20.4,4,Derick,Maulin,190.8,95.9,PG,1
420,714,13.2,10,Tristian,Stacks,201.7,100.3,SG,1
425,240,16.4,8,Jay,Baum-Flint,203.6,103.8,SF,1
426,199,24.9,8,Dante,Monroe,190.8,95.9,PG,0
427,153,22.7,24,Dominick,King,190.8,95.2,PG,0
429,784,16.8,8,Tyler,Pierce,194.9,97.9,SG,1
433,446,24.8,23,Jonathan,Matz,190.8,94.6,PG,0
437,274,15.5,1,Austin,Cochran,201.8,102.9,SF,1
441,35,17.8,8,Raheim,Sandoval,220.5,110.6,C,1
443,588,18.2,8,Dmitry,Killingsworth,224.2,112.1,C,1
445,163,20.7,8,Julian,Benjamin,210.2,106.3,PF,1
449,585,20.6,1,Deonta,Polk,195.7,99.5,SG,1
450,958,27.9,0,Shea,Quinn,191.3,95.6,SG,0
451,898,20.8,9,Lane,Yaron,215.7,107.5,C,1
452,311,24.6,12,Stephaun,Sanders,209.3,104.7,PF,0
453,50,11.2,5,Anthony,Ferris,217.6,109.4,C,1
457,504,24,12,Thomas,Quinn,208.6,105.3,PF,0
458,395,30.1,5,Andre,Rowe,212.1,106.7,PF,0
459,846,18.5,24,Zakkery,Martin,200.8,99.9,SG,0
461,810,17.7,11,Korey,Smiley,190.8,94.4,PG,1
462,474,22.6,26,Adam,Waterman,206.6,104.8,PF,0
464,379,16.1,7,Ibrahima,Wimberly,190.2,95.3,SG,1
465,620,8.9,5,Alec,Van Deren,195.5,97.5,SF,1
466,610,21,27,Dillon,Johnson,207.7,103,PF,0
467,216,18.6,5,Jason,Vacek,215.8,107.6,C,1
468,317,20.2,25,Jeremy,Anderson,222.2,112.4,C,0
469,158,16.6,16,Clayton,Burks,211.5,105.5,PF,1
472,454,20.8,31,Zachary,Gotwald,195.3,97.4,SF,0
473,13,13,36,Travon,Smith,221.6,109.8,C,0
475,387,23.8,21,Peter,Russell,206.6,103.3,PF,0
480,345,18.5,2,Christopher,Yussufu,190.8,95.2,PG,1
481,953,22.2,16,Tairee,Howard,190.8,95.3,PG,0
484,394,21.5,34,Cameron,Hansel,190.8,95.9,PG,0
485,124,22.9,2,Matthew,Mainiero,224.3,110.6,C,1
486,654,18.1,9,Patrick,Gordon,190.8,96.1,PG,1
487,671,13,7,Isaiah,Poloa,197.5,99.3,SG,1
488,978,27,2,Nathan,Freudenthal,200.5,99.4,SF,0
489,828,31.8,1,Kyle,Kutter,197.8,97.9,SF,0
490,814,18.4,4,Aaron,Taylor,204.2,101.2,PF,1
492,907,26.5,10,Anthony,Richardson,223.5,111.7,C,0
493,644,31.4,11,Joseph,Schafer,190.8,95.8,PG,0
494,674,23.8,21,Jacob,Andersen,190.8,96,PG,0
498,477,35.3,1,Elijah,Brown,201.1,99.9,SF,0
500,379,20.3,35,Ibrahima,Wimberly,190.2,95.3,SG,0
501,258,20.6,5,Tyler,Koslosky,210,105.6,C,1
505,140,16.2,1,Kyle,Knapp,206.9,104.1,SF,1
507,663,18.2,9,Bishop,Emanuel,216.9,109.3,C,1
513,887,24.2,11,Damon,Davis,199.3,100.1,SG,0
517,254,26.8,1,Joshua,Charron,215.2,108.1,C,0
519,790,24,26,Garrett,Pugh,190.8,94.7,PG,0
520,921,23.7,31,Aaron,Wheeler,199.9,99.7,SG,0
524,106,24.1,6,Jesse,Laberteaux,210.3,105.6,PF,0
525,898,16.3,20,Lane,Yaron,215.7,107.5,C,0
527,5,24.4,21,Terrell,Sidberry-White,201.9,100.3,SF,0
531,214,26.7,2,Jade,Slocum,201.9,100.9,SF,1
533,8,27.9,9,Nicholas,Grantham,198.9,100.1,SG,0
536,220,31.7,10,Kurtis,Hunchar,223.5,110.9,C,0
538,539,29.9,0,Kentuan,Leverette,223,112.2,C,0
542,405,20.3,6,James,Cunningham,193,96.4,SG,1
544,32,16.1,3,Ryan,Bodendorfer,192.5,96.4,SG,1
545,670,19.8,20,Cory,Hathaway,224.6,112.9,C,1
546,445,18.6,48,Brandon,Weaks,229.9,114.7,C,1
547,790,21.3,10,Garrett,Pugh,190.8,94.7,PG,1
550,636,15.4,15,Blue,Wilson,200.7,102.8,SG,1
551,657,16.2,32,Abdinasir,King,204.9,101.3,PF,0
552,573,25.8,11,John,Harris,222.8,112.8,C,0
553,589,12.3,3,Frederick,Carter,194.7,97.1,SF,1
555,397,18.7,13,Jordan,Singleton,199.8,100.6,SG,1
557,631,18.8,21,Jessey,Miles,213.1,105.8,PF,1
559,140,22.3,55,Kyle,Knapp,206.9,104.1,SF,0
560,310,24,49,Matthew,Snart,197.3,99.1,SF,0
561,959,18.5,9,Kelechi,Cash,208.6,104.5,PF,1
562,943,14.1,5,Jarom,Roath,219.7,109.6,C,1
565,675,14.7,17,Curtis,Wallace,228.5,113.7,C,1
569,991,26.4,22,Orville,Johnson,190.8,95.1,PG,0
575,896,15.4,31,Wade,Baylor,215.7,108,PF,1
577,967,23.3,17,William,Poloa,190.6,95.3,SG,0
579,875,26.3,13,Chrant,Martin-Padilla,194.3,97.8,SF,0
583,533,11.5,2,Vincent Ray,Davis,190.8,95.1,PG,1
585,841,17,15,Edward,Allen,221.1,111.3,C,1
586,559,26.4,16,Terrell,Duncan,190.8,95.9,PG,0
588,361,26.5,3,Davaughn,Laneir,201.3,102.4,SF,0
590,634,15.2,10,Michael,Pipher,208.1,102.7,PF,1
592,322,21.5,4,Colin,Hornbecker,211,105.4,PF,0
593,3,28.1,15,Tyler,Johnson,190.8,94.5,PG,0
595,52,18.7,9,Joshua,Goldsmith,214.1,105.5,C,1
596,101,19.4,5,Tyler,Atsedu,190.8,96.1,PG,0
602,163,21.5,0,Julian,Benjamin,210.2,106.3,PF,0
603,259,24.1,36,Devante,Martinez Dozier,197.6,99.8,SG,0
604,65,21.8,24,Yaphet,Minter,215.3,106.7,C,0
606,67,16,3,Khari,Welford,187.4,93.4,SG,1
607,186,20.9,4,Nicholas,Nichols,211.8,106.6,PF,1
610,869,22.7,14,Galen,Hudson,191.3,97.1,SG,0
613,358,15.7,18,John,Wilson,218.3,110,PF,1
616,354,23.3,28,Mackenzie,Mitchell,199.7,98.8,SF,0
618,903,17.4,23,Daezionte,Johnson,225.4,112.3,C,0
623,575,17.4,4,Russell,Jackson,202.6,100.8,SF,1
624,662,27.8,12,Nicholas,Yates,191.5,94.9,SG,0
627,326,22.9,11,Daniel,Andre,218.5,109.6,C,0
628,997,27,28,Yonatan,Turner,208.9,104.5,PF,0
631,203,27,3,Dominique,Chaffin,194.8,98.7,SG,1
633,716,9.7,1,Cody,Lantsov,199.2,99,SF,1
636,158,17.6,12,Clayton,Burks,211.5,105.5,PF,1
637,215,14.7,55,Evan,Whitt,201.1,100.2,SF,0
639,171,22,12,Sherman,Hill,194.8,97.1,SG,0
640,407,12.3,5,J'Azmin,Molock,207.3,104.2,SF,1
641,974,25.9,4,Matthew,Duke,222.7,111,C,0
642,536,21.8,4,Alexander,Westmoreland,202.2,101.6,SF,0
644,603,29.8,10,King,Donnell,196.6,97.6,SG,0
645,945,22.8,33,Michaud,Towndrow,193.7,97.4,SF,0
647,407,22.3,19,J'Azmin,Molock,207.3,104.2,SF,0
648,810,17.4,34,Korey,Smiley,190.8,94.4,PG,0
655,660,21.7,27,Matthew,Paulek,222.8,113.5,C,0
657,129,19.4,1,Deandre,Stamps,194.9,98,SF,1
658,13,27.1,0,Travon,Smith,221.6,109.8,C,0
659,599,19.9,0,Xavier,Harrison,192.8,95.3,SF,1
660,798,18.1,1,Brandon,Kistler,215.8,108.1,PF,1
661,113,19.9,32,Christopher,Rodrigues,196.2,96.9,SF,0
663,78,23.5,19,Jonathan,Dozier,204.9,103,SF,0
664,914,15.4,8,Jacob,Hellebush,194,96.9,SG,1
666,833,12.6,2,Joe,Scott,196.1,99.1,SG,1
672,740,20.9,3,Tristan,Tatum,216.4,107.4,C,1
673,557,10.3,1,Raheem,Sims,190.8,97,PG,1
674,905,14.8,3,Le'Ondre,Thomas,197.7,101.3,SF,1
675,268,25.2,19,Ramin,Sampson,216.1,109.2,C,0
676,758,18.5,5,Mason,Dotson,223.4,111.2,C,0
677,878,15.5,24,Daniel,Christopher,214.4,107.6,PF,1
679,555,24.5,4,Stafon,Jones,197.8,100.7,SF,1
681,608,17.9,37,Devin,Ryan,196.1,98.7,SG,0
683,624,20.9,17,Tyler,Rillings,221.7,109.9,C,0
684,660,15.7,3,Matthew,Paulek,222.8,113.5,C,1
685,734,14.5,27,Sean,Edmundson,199,99.3,SG,0
687,836,27.5,2,Langhorne,Mcquilliams,208.5,104.6,PF,0
688,825,20.2,13,Franklin,Araya,223.1,112.7,C,0
692,798,16.5,0,Brandon,Kistler,215.8,108.1,PF,1
694,356,19.9,21,Blake,Womack,190.8,96,PG,0
695,952,23.8,18,Keenan,Wortman,197.2,99.1,SF,0
696,194,17,3,Taylor,Comer,190.8,94.7,PG,1
697,845,20.9,16,Jaylen,Pierre,205,99.7,SF,0
699,112,21.2,4,Casey,Laustsen,195.9,99.3,SF,0
701,307,25.6,13,Elijah,Jones,209.7,103.6,PF,0
702,845,25.7,9,Jaylen,Pierre,205,99.7,SF,0
705,685,24.1,21,Corey,Rich,194.9,96.7,SF,0
706,58,17,11,Jacob,Mcnatt,207.2,103.7,PF,1
707,221,24.6,5,Harry,Robinson,199.8,100.1,SF,0
710,415,16.2,6,Antonio,James,215.4,108.3,C,1
715,348,23,4,Tyson,Nelson,197.1,99.8,SF,0
716,624,19.8,14,Tyler,Rillings,221.7,109.9,C,0
717,211,19,12,Andrew,Elhussen,222.2,112.3,C,1
718,757,21.7,21,Oshay,Spicely,199.8,100.2,SF,1
719,666,31.3,7,Nathan,Mayns,190.8,96.5,PG,0
720,488,26.6,39,Ryan,Hershfeldt,190.8,95.8,PG,0
723,353,29.2,17,Elijah,Davis-Walker,200.8,100.2,SF,0
724,1,19.8,2,Terell,Moore,219.8,110.9,C,1
728,239,32.4,14,Kevin,Ware,227.6,115,C,0
729,10,17.7,17,Nikola,Katz,214.1,108.8,PF,0
732,416,30.7,0,Eric,Kalkman,214,106.1,PF,0
733,458,20.1,16,Spencer,Moseley,209,105.8,PF,0
734,70,19,9,Dylan,Smith,190.8,94.7,PG,0
738,830,21.5,6,Patrick,Broce,217,108.3,PF,0
739,354,19.9,37,Mackenzie,Mitchell,199.7,98.8,SF,0
741,575,16.8,12,Russell,Jackson,202.6,100.8,SF,1
743,212,12.8,10,Daniel,Fitzsimmons,190.8,95.5,PG,1
744,507,22.8,10,Keenan,Charleston,199.4,99.5,SF,0
748,427,23.9,14,Melike,Green,218.9,110.8,C,0
749,529,16.6,7,Jonathan,Dorrell,220.2,109.6,C,1
755,422,18.7,6,Joshua,Mcginnis,207.6,102.4,PF,1
757,205,18.3,8,Daravion,Shaw,194.6,96.7,SF,1
759,674,30,16,Jacob,Andersen,190.8,96,PG,0
760,429,11.7,24,William,Mack,190.8,94.9,PG,1
763,645,20.7,15,Joseph,Outlar,191,95.3,SG,0
764,186,22.5,36,Nicholas,Nichols,211.8,106.6,PF,0
767,852,11,3,Joseph,Coberly,211,103.6,PF,1
772,930,19.8,0,Cole,Turner,190.8,93.5,PG,1
773,86,16.5,5,John,Eden,195.7,98.1,SF,1
774,754,22.7,5,Ryan,Klingensmith,193.7,96.3,SF,1
777,166,27.1,4,Nicholas,Moore,215.8,108,PF,0
779,852,24.3,12,Joseph,Coberly,211,103.6,PF,0
784,571,19.3,10,Patrick,Kassa,190.8,95.4,PG,1
786,962,17,19,Matthew,Auer,196.1,99.8,SG,1
787,361,18.3,11,Davaughn,Laneir,201.3,102.4,SF,1
789,773,20.9,0,Brendan,Hill,196.5,98.2,SG,0
791,458,22.9,0,Spencer,Moseley,209,105.8,PF,1
792,993,18.3,11,Keenan,Moore,206.3,103.4,SF,1
793,50,26.7,9,Anthony,Ferris,217.6,109.4,C,0
794,954,28.6,6,Blaine,Armstrong,191.7,96.6,SG,0
796,513,22.2,30,Ronald,Fletcher,202.8,101.8,SF,0
797,153,25,23,Dominick,King,190.8,95.2,PG,0
799,809,32,3,Nicholas,Thomas,205.4,100.9,PF,0
801,229,17,1,Elijah,Ajibade,217,107.9,C,1
803,293,26.5,9,Anthony,Reid,213.6,105.9,PF,0
805,910,17.7,4,Christian,Benson,190.8,95.2,PG,1
809,891,24.4,20,Quincy,Blackwood,196.4,99.5,SG,0
811,574,27,1,Adam,Calhoon,190.7,93.9,SG,0
813,399,24.5,14,Dominique,Mclean,198,98.4,SF,0
815,37,20.2,9,Tre,Jackson,204.8,103.8,PF,0
817,868,19.5,20,Jared,Hueske,202.2,99.5,SF,1
820,500,15.1,0,Michael,Lipitz,201.2,100.9,SF,1
823,677,21.1,7,Stalin,Robinson,190.8,95.7,PG,1
824,960,20.1,4,Morgan,Abell,199.4,99.2,SF,1
827,763,18.6,9,Mohamed,Howard,190.8,94.7,PG,1
828,404,21.3,4,Falcon,Smith,218.9,109.4,C,0
829,176,25,2,Austin,Neuhalfen,219.9,109,C,0
830,276,23.6,11,Alex,Melcher,216.2,107.6,PF,0
833,512,23.6,14,Kyle,Murphy,218.2,109.1,C,0
835,865,17.5,4,Jamal,Barnes,192.9,98.3,SG,0
836,330,21.8,12,Robert,Baeckel,207.4,104.4,SF,1
837,426,10.5,17,Jonathan,Nelson,203.8,104.1,SF,1
840,855,15.1,3,Bruce,Hurt,190.8,93.9,PG,1
843,672,18.4,11,Ace,Kujath,194.5,97.5,SG,1
849,723,14.8,1,Larue,Davis,190.8,95.6,PG,0
851,170,11.8,24,Colton,Brenner,190.8,95.6,PG,0
857,329,25.3,22,Damari,Salter,190.8,95.4,PG,0
859,612,15.9,4,Brandon,Parker,190.8,95.5,PG,1
860,881,12.2,19,David,Gibson,190.8,93.9,PG,1
861,951,23.4,12,Aaron,Cunningham,202.6,101.9,SG,0
862,173,24.6,15,Andre,Said,197.5,96.9,SG,0
863,223,14.6,3,Shamari,Deatherage,202.5,100.4,SF,1
864,212,5.9,22,Daniel,Fitzsimmons,190.8,95.5,PG,1
868,163,16.5,19,Julian,Benjamin,210.2,106.3,PF,1
869,686,21.8,30,Cody,Orr-Scheel,207.8,103.3,PF,0
870,80,17.5,25,Dillon,Kennedy,207.8,103.2,PF,0
871,697,31.4,2,Kendrick,Hester,219.5,108.7,C,0
872,324,21.3,26,Brian,Miller,204.5,102,PF,0
877,507,20.8,5,Keenan,Charleston,199.4,99.5,SF,1
880,102,17.9,8,Scott,Kocman,200.2,100.1,SF,1
881,783,21.9,13,Christopher,Roth,224.9,112.5,C,0
882,644,19,23,Joseph,Schafer,190.8,95.8,PG,1
886,149,15.7,8,Momodou Lamin,Little,205.1,103.4,PF,1
887,659,19.5,0,Phillip,Johnson,190.8,94.8,PG,1
888,908,34,3,Kyle,Wood,221.5,112.4,C,0
