S.No,Headline,Source,Link,Category,Timestamp
26,‘Very much the same’: Zohran Mamdani reacts to Eric Adams exiting NYC mayoral race,TOI,https://timesofindia.indiatimes.com/world/us/very-much-the-same-zohran-mamdani-reacts-to-eric-adams-exiting-nyc-mayoral-race-warns-rival-andrew-cuomo/articleshow/124203261.cms,World,2025-09-29T08:16:28+05:30
27,‘Accept reality’: Vance asks Russia to ‘wake up’ amid rising losses in Ukraine conflict,TOI,https://timesofindia.indiatimes.com/world/us/accept-reality-jd-vance-asks-russia-to-wake-up-amid-rising-losses-in-ukraine-conflict-calls-for-negotiation/articleshow/124203171.cms,World,2025-09-29T07:51:48+05:30
28,"Michigan church shooting: 4 killed, several injured as gunman opens fire on worshippers",TOI,https://timesofindia.indiatimes.com/world/us/michigan-church-shooting-2-killed-8-injured-as-gunman-opens-fire-on-worshippers-what-we-know-so-far/articleshow/124202683.cms,World,2025-09-29T06:17:53+05:30
29,"Denmark claims drone sightings, Nato vigilance up",TOI,https://timesofindia.indiatimes.com/world/europe/denmark-claims-drone-sightings-nato-vigilance-up/articleshow/124202746.cms,World,2025-09-29T06:23:28+05:30
30,Trump to meet Congress leaders to avert shutdown,TOI,https://timesofindia.indiatimes.com/world/us/trump-to-meet-congress-leaders-to-avert-shutdown/articleshow/124202730.cms,World,2025-09-29T06:20:31+05:30
31,"Lost contact with 2 hostages: Hamas; 77 killed in 24 hrs, says Gaza ministry",TOI,https://timesofindia.indiatimes.com/world/middle-east/lost-contact-with-2-hostages-hamas-77-killed-in-24-hrs-says-gaza-ministry/articleshow/124202701.cms,World,2025-09-29T06:14:37+05:30
32,Moldovans vote in a tense election amid claims of Russian interference,TOI,https://timesofindia.indiatimes.com/world/europe/moldovans-vote-in-a-tense-election-amid-claims-of-russian-interference/articleshow/124202680.cms,World,2025-09-29T06:08:35+05:30
33,"UN arms embargo, other sanctions reimposed on Iran over its N-plans",TOI,https://timesofindia.indiatimes.com/world/middle-east/un-arms-embargo-other-sanctions-reimposed-on-iran-over-its-n-plans/articleshow/124202665.cms,World,2025-09-29T06:04:49+05:30
34,Nepal probe panel recommends seizing passports of Oli and 4 others,TOI,https://timesofindia.indiatimes.com/world/south-asia/nepal-probe-panel-recommends-seizing-passports-of-oli-and-4-others/articleshow/124202625.cms,World,2025-09-29T05:54:39+05:30
35,Former Chinese agriculture minister is sentenced to death for graft,TOI,https://timesofindia.indiatimes.com/world/china/former-chinese-agriculture-minister-is-sentenced-to-death-for-graft/articleshow/124202598.cms,World,2025-09-29T05:51:24+05:30
36,Mansi Kasliwal becomes 1st woman to head Caltech's Palomar Observatory,TOI,https://timesofindia.indiatimes.com/world/us/mansi-kasliwal-becomes-1st-woman-to-head-caltechs-palomar-observatory/articleshow/124202580.cms,World,2025-09-29T05:47:33+05:30
37,World's highest bridge opens to traffic in China,TOI,https://timesofindia.indiatimes.com/world/china/worlds-highest-bridge-opens-to-traffic-in-china/articleshow/124202531.cms,World,2025-09-29T05:37:08+05:30
38,'Best Oval Office ever': Donald Trump hails 24-Karat gold revamp; boasts foreign leaders 'freak out' by its grandeur,TOI,https://timesofindia.indiatimes.com/world/us/best-oval-office-ever-donald-trump-hails-24-karat-gold-revamp-boasts-foreign-leaders-freak-out-by-its-grandeur/articleshow/124202348.cms,World,2025-09-29T04:26:03+05:30
39,Who was Thomas Jacob Sanford? US marine veteran who opened fire at Michigan church,TOI,https://timesofindia.indiatimes.com/world/us/who-was-thomas-jacob-sanford-us-marine-veteran-who-opened-fire-at-michigan-church/articleshow/124200936.cms,World,2025-09-29T04:16:23+05:30
40,‘Bibi wants the deal too’: Donald Trump says Gaza plan well-received; cites all parties ‘tired of war’,TOI,https://timesofindia.indiatimes.com/world/us/bibi-wants-the-deal-too-donald-trump-says-gaza-plan-well-received-cites-all-parties-tired-of-war/articleshow/124200385.cms,World,2025-09-29T02:56:29+05:30
41,"Asian stocks today: Markets mostly in green following US gains; HSI jumps over 350 points, Shenzhen up 1.28%",TOI,https://timesofindia.indiatimes.com/business/international-business/asian-stocks-today-markets-mostly-in-green-following-us-gains-hsi-jumps-over-350-points-shenzhen-up-1-28/articleshow/124204048.cms,Business,2025-09-29T09:31:56+05:30
42,"Top stocks to buy: Stock recommendations for the week starting September 29, 2025 - check list",TOI,https://timesofindia.indiatimes.com/business/india-business/top-stock-recommendations-for-september-29-2025-week-state-bank-of-india-sbi-swiggy-stocks-to-buy-today/articleshow/124198170.cms,Business,2025-09-29T09:45:00+05:30
43,Stocks to buy: What's the outlook for Nifty for week starting September 29? Check list of top stock recommendations,TOI,https://timesofindia.indiatimes.com/business/india-business/top-stocks-to-buy-this-week-september-29-to-october-03-stock-recommendations-larsen-toubro-ashok-leyland/articleshow/124198013.cms,Business,2025-09-29T07:30:00+05:30
44,"Stock market today: Nifty50 opens in green; BSE Sensex above 80,500",TOI,https://timesofindia.indiatimes.com/business/india-business/stock-market-today-nifty50-bse-sensex-september-29-2025-dalal-street-indian-equities-global-markets-donald-trump-tariffs-h-1b-visa-india-us-trade-deal/articleshow/124203860.cms,Business,2025-09-29T09:18:43+05:30
45,"Bank holiday this week: Will banks remain shut on Dussehra, Durga Puja? Check list",TOI,https://timesofindia.indiatimes.com/business/india-business/bank-holidays-this-week-will-banks-remain-shut-for-durga-puja-dussehra-checkstate-wiselist/articleshow/124203621.cms,Business,2025-09-29T08:41:41+05:30
46,South Korea-US trade deal: Seoul says can’t ‘pay $350 bn in cash’; seeks alternative solution,TOI,https://timesofindia.indiatimes.com/business/international-business/south-korea-us-trade-deal-seoul-says-cant-pay-350-bn-in-cash-seeks-alternative-solution/articleshow/124203125.cms,Business,2025-09-29T07:57:40+05:30
47,JLR gets UK govt's guarantee for $2 billion loan after cyber hit,TOI,https://timesofindia.indiatimes.com/business/international-business/jlr-gets-uk-govts-guarantee-for-2-billion-loan-after-cyber-hit/articleshow/124202460.cms,Business,2025-09-29T05:07:33+05:30
48,ET NOW to launch two programmes,TOI,https://timesofindia.indiatimes.com/business/india-business/et-now-to-launch-two-programmes/articleshow/124202443.cms,Business,2025-09-29T04:58:46+05:30
49,"RBI cracks down on 'buy now, pay later'",TOI,https://timesofindia.indiatimes.com/business/india-business/rbi-cracks-down-on-buy-now-pay-later/articleshow/124202397.cms,Business,2025-09-29T04:40:14+05:30
50,RBI's next move? Panel likely to hold rates steady this week,TOI,https://timesofindia.indiatimes.com/business/india-business/rbis-next-move-panel-likely-to-hold-rates-steady-this-week/articleshow/124202388.cms,Business,2025-09-29T04:37:01+05:30
51,"Dalal Street eyes comeback after 6-day slide, FPIs hold key",TOI,https://timesofindia.indiatimes.com/business/india-business/dalal-street-eyes-comeback-after-6-day-slide-fpis-hold-key/articleshow/124202359.cms,Business,2025-09-29T04:27:14+05:30
52,Financial sector : DFS & Supreme Court panel conduct mediation training for DRT officers; dispute resolution skills on priority,TOI,https://timesofindia.indiatimes.com/business/india-business/financial-sector-dfs-supreme-court-panel-conduct-mediation-training-for-drt-officers-dispute-resolution-skills-on-priority/articleshow/124198387.cms,Business,2025-09-28T23:21:18+05:30
53,PM E-DRIVE scheme: Govt issues new guidelines for EV charging stations; rollout to cover cities and highways,TOI,https://timesofindia.indiatimes.com/business/india-business/pm-e-drive-scheme-govt-issues-new-guidelines-for-ev-charging-stations-rollout-to-cover-cities-and-highways/articleshow/124197543.cms,Business,2025-09-28T22:31:27+05:30
54,"Logistics expansion: India emerges as top choice for APAC 3PL firms; sector driven by tech, e-commerce growth",TOI,https://timesofindia.indiatimes.com/business/india-business/logistics-expansion-india-emerges-as-top-choice-for-apac-3pl-firms-sector-driven-by-tech-e-commerce-growth/articleshow/124197001.cms,Business,2025-09-28T21:42:20+05:30
55,Tariff war: Lutnick says India and Brazil need to be 'fixed',TOI,https://timesofindia.indiatimes.com/business/india-business/tariff-war-lutnick-says-india-and-brazil-need-to-be-fixed/articleshow/124196222.cms,Business,2025-09-28T20:17:46+05:30
56,"Food processing push: Global, domestic firms may invest Rs 1.02 lakh crore; job creation in focus",TOI,https://timesofindia.indiatimes.com/business/india-business/food-processing-push-global-domestic-firms-may-invest-rs-1-02-lakh-crore-job-creation-in-focus/articleshow/124196232.cms,Business,2025-09-28T20:19:37+05:30
57,Trump’s H-1B visa move: End of the road Indians' American dream? How fee hike may help India retain talent,TOI,https://timesofindia.indiatimes.com/business/india-business/trumps-h-1b-visa-move-end-of-the-road-for-american-dream-for-indians-how-fee-hike-may-help-india-retain-talent/articleshow/124194628.cms,Business,2025-09-28T19:36:36+05:30
58,Valuation watch: Top-10 most valued firms' market cap drops by Rs 2.99 lakh crore; TCS emerges as the biggest hit on H1-B visa fees hike,TOI,https://timesofindia.indiatimes.com/business/india-business/valuation-watch-top-10-most-valued-firms-market-cap-drops-by-rs-2-99-lakh-crore-tcs-emerges-as-the-biggest-hit-on-h1-b-visa-fees-hike/articleshow/124195744.cms,Business,2025-09-28T19:29:11+05:30
59,"Stock market outlook: Investors to track RBI policy and US tariffs; FII flows, rupee weakness to influence trend in holiday-shortened week",TOI,https://timesofindia.indiatimes.com/business/india-business/stock-market-outlook-investors-to-track-rbi-policy-and-us-tariffs-fii-flows-rupee-weakness-to-influence-trend-in-holiday-shortened-week/articleshow/124194763.cms,Business,2025-09-28T17:54:11+05:30
60,'India has self-respect': Russia on Delhi's response over US oil pressure; 'no threat' to ties,TOI,https://timesofindia.indiatimes.com/business/india-business/india-has-self-respect-russia-on-delhis-response-over-us-oil-pressure-no-threat-to-ties/articleshow/124193511.cms,Business,2025-09-28T15:29:36+05:30
61,The one-hour drama at Dubai: Inside details of how PCB chief Mohsin Naqvi ran away with Asia Cup trophy after India vs Pakistan final,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/the-one-hour-drama-at-dubai-inside-details-of-how-pcb-chief-mohsin-naqvi-ran-away-with-asia-cup-trophy-after-india-vs-pakistan-final/articleshow/124202453.cms,Sports,2025-09-29T06:27:05+05:30
62,Mohsin Naqvi drags war into cricket in reply to PM Modi’s Asia Cup tweet,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/mohsin-naqvi-drags-war-into-cricket-in-reply-to-pm-modis-asia-cup-tweet/articleshow/124203141.cms,Sports,2025-09-29T08:02:31+05:30
63,"SKY lashes out at ACC for withholding Asia Cup trophy, donates match fees to Indian armed forces",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/suryakumar-yadav-lashes-out-at-acc-for-withholding-asia-cup-trophy-donates-match-fees-to-indian-armed-forces/articleshow/124202472.cms,Sports,2025-09-29T05:13:29+05:30
64,A new low in Dubai as Pakistan captain Salman Agha throws his cheque in anger,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/a-new-low-in-dubai-as-pakistan-captain-salman-agha-throws-his-cheque-in-anger/articleshow/124202611.cms,Sports,2025-09-29T06:04:28+05:30
65,PAK captain Salman Agha claims Suryakumar 'shook hands' with him; slams India,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/pakistan-captain-salman-ali-agha-claims-suryakumar-yadav-shook-hands-with-him-in-private-slams-india-for-disrespecting-cricket/articleshow/124202737.cms,Sports,2025-09-29T06:32:46+05:30
66,God's plan! How Rinku Singh manifested hitting the winning runs for India,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/gods-plan-how-rinku-singh-had-manifested-hitting-the-winning-runs-for-india-weeks-back/articleshow/124204089.cms,Sports,2025-09-29T09:57:25+05:30
67,Owned him! India cricketers brutally troll PAK spinner Abrar Ahmed - watch,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/owned-him-india-cricketers-brutally-troll-pakistan-spinner-abrar-ahmed-watch/articleshow/124202639.cms,Sports,2025-09-29T06:08:27+05:30
68,'Well played Abhishek Bachchan': Amitabh Bachchan mocks Pakistan after India's Asia Cup triumph,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/well-played-abhishek-bachchan-amitabh-bachchan-mocks-pakistan-after-indias-asia-cup-triumph/articleshow/124204851.cms,Sports,2025-09-29T10:31:01+05:30
69,"Pak captain copies Suryakumar after Asia Cup final: Donations, rushed press conference",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/pakistan-captain-copies-suryakumar-yadav-after-asia-cup-final-donations-rushed-press-conference/articleshow/124202971.cms,Sports,2025-09-29T07:37:12+05:30
70,Abhishek Sharma takes a savage dig at Shaheen Shah Afridi after Asia Cup win,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/abhishek-sharma-takes-a-savage-dig-at-shaheen-shah-afridi-after-asia-cup-win/articleshow/124204140.cms,Sports,2025-09-29T09:16:41+05:30
71,India players roast PCB and ACC... one trophyless upload at a time,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/india-players-roast-pcb-and-acc-one-trophyless-upload-at-a-time/articleshow/124202558.cms,Sports,2025-09-29T08:43:56+05:30
72,BCCI's strong warning to PCB after Asia Cup trophy drama: 'Very unsporting',TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/bcci-sends-strong-warning-to-pcb-after-asia-cup-2025-trophy-drama-in-dubai/articleshow/124202456.cms,Sports,2025-09-29T05:37:41+05:30
73,Suryakumar Yadav recreates Rohit Sharma's iconic celebration... but without the trophy,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/suryakumar-yadav-recreates-rohit-sharmas-iconic-celebration-but-without-the-trophy/articleshow/124202696.cms,Sports,2025-09-29T07:19:19+05:30
74,"Abhishek hails Gambhir and SKY for confidence boost, jabs ACC over trophy snub",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/abhishek-sharma-hails-gautam-gambhir-and-suryakumar-yadav-for-confidence-boost-jabs-acc-over-trophy-snub/articleshow/124202480.cms,Sports,2025-09-29T05:29:20+05:30
75,Ugly scenes in Dubai as PCB chief runs away with Asia Cup trophy,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/ugly-scenes-in-dubai-as-pcb-chief-runs-away-with-asia-cup-trophy/articleshow/124200279.cms,Sports,2025-09-29T02:00:11+05:30
76,"Asia Cup final: Gritty Tilak, crafty Kuldeep hand India another win over Pakistan",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-final-gritty-tilak-varma-and-crafty-kuldeep-yadav-hand-india-another-win-over-pakistan/articleshow/124199298.cms,Sports,2025-09-29T00:21:12+05:30
77,Rs 21 crore bonanza! BCCI rewards Team India after record 9th Asia Cup win,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/rs-21-crore-bonanza-bcci-rewards-team-india-after-record-9th-asia-cup-win/articleshow/124200223.cms,Sports,2025-09-29T01:40:01+05:30
78,Wild scenes as India beat Pakistan for third time; win 9th Asia Cup title - Watch,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/wild-scenes-as-india-beat-pakistan-for-third-time-win-9th-asia-cup-title-watch/articleshow/124199841.cms,Sports,2025-09-29T01:04:05+05:30
79,"Watch: Gambhir goes crazy, bangs table during IND vs PAK Asia Cup final",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/watch-gautam-gambhir-goes-crazy-bangs-table-during-ind-vs-pak-asia-cup-final/articleshow/124199280.cms,Sports,2025-09-29T00:22:19+05:30
80,Bumrah gives Rauf a taste of his jet celebration - Watch,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/jasprit-bumrah-gives-haris-rauf-a-taste-of-his-own-medicine-with-iconic-jet-celebration-video-inside/articleshow/124197039.cms,Sports,2025-09-28T21:50:43+05:30
81,"Honour killing: 15-year-old girl shot dead by father, minor brother in U.P.",Hindu,https://www.thehindu.com/news/national/uttar-pradesh/honour-killing-15-year-old-girl-shot-dead-by-father-minor-brother-in-up/article70107666.ece,National,"Mon, 29 Sep 2025 10:31:39 +0530"
82,Deeply concerned by Karnataka High Court’s order: X Corp,Hindu,https://www.thehindu.com/sci-tech/technology/deeply-concerned-by-karnataka-high-courts-order-x-corp/article70107687.ece,National,"Mon, 29 Sep 2025 10:27:54 +0530"
83,Former BDA employee among three arrested for forging documents to grab site in Bengaluru,Hindu,https://www.thehindu.com/news/national/karnataka/former-bda-employee-among-three-arrested-for-forging-documents-to-grab-site-in-bengaluru/article70105597.ece,National,"Mon, 29 Sep 2025 10:24:05 +0530"
84,"JMM MLA accused of using fake identity in polling, Jharkhand CEO orders probe",Hindu,https://www.thehindu.com/news/national/jharkhand/jmm-mla-accused-of-using-fake-identity-in-polling-jharkhand-ceo-orders-probe/article70107668.ece,National,"Mon, 29 Sep 2025 10:19:47 +0530"
85,TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay,Hindu,https://www.thehindu.com/news/national/tvk-karur-rally-stampede-rahul-gandhi-speaks-with-actor-vijay/article70107606.ece,National,"Mon, 29 Sep 2025 09:53:33 +0530"
86,Zubeen Garg: The atheist who became god,Hindu,https://www.thehindu.com/news/national/assam/zubeen-garg-the-atheist-who-became-god/article70105627.ece,National,"Mon, 29 Sep 2025 09:51:14 +0530"
87,TVK Karur rally stampede: Death toll climbs to 41,Hindu,https://www.thehindu.com/news/national/tamil-nadu/tvk-vijay-karur-rally-stampede-death-toll-september-29-2025/article70107509.ece,National,"Mon, 29 Sep 2025 08:56:21 +0530"
88,Analysing Indian States’ macro-fiscal health,Hindu,https://www.thehindu.com/business/Economy/analysing-indian-states-macro-fiscal-health/article70105107.ece,National,"Mon, 29 Sep 2025 08:30:00 +0530"
89,Spice Route Initiative to string together ancient ports and heritage sites in Kerala,Hindu,https://www.thehindu.com/news/national/kerala/spice-route-initiative-to-string-together-ancient-ports-and-heritage-sites/article70106032.ece,National,"Mon, 29 Sep 2025 08:25:57 +0530"
90,‘Clog the toilet’ trolls hit Indian visa holders rushing to U.S.,Hindu,https://www.thehindu.com/news/international/clog-the-toilet-trolls-hit-indian-visa-holders-rushing-to-us/article70107513.ece,National,"Mon, 29 Sep 2025 08:18:07 +0530"
91,Key initiatives honoured with M.S. Swaminathan Award for Environmental Protection,Hindu,https://www.thehindu.com/news/national/tamil-nadu/key-initiatives-honoured-with-ms-swaminathan-award-for-environmental-protection/article70105332.ece,National,"Mon, 29 Sep 2025 05:45:00 +0530"
92,Fire breaks out at Tiruvannamalai GH,Hindu,https://www.thehindu.com/news/national/tamil-nadu/fire-breaks-out-at-tiruvannamalai-gh/article70106229.ece,National,"Mon, 29 Sep 2025 05:30:00 +0530"
93,"92% UGD work completed in Vellore, says Corporation Commissioner",Hindu,https://www.thehindu.com/news/national/tamil-nadu/92-ugd-work-completed-in-vellore-says-corporation-commissioner/article70105641.ece,National,"Mon, 29 Sep 2025 05:30:00 +0530"
94,CMC organises cookery competition in Vellore to mark World Diabetes Day,Hindu,https://www.thehindu.com/news/national/tamil-nadu/cmc-organises-cookery-competition-in-vellore-to-mark-world-diabetes-day/article70105654.ece,National,"Mon, 29 Sep 2025 05:30:00 +0530"
95,Will donate my Asia Cup match fee to Armed Forces and Pahalgam victims: Suryakumar Yadav,Hindu,https://www.thehindu.com/sport/cricket/suryakumar-yadav-asia-cup-trophy-match-fees/article70107194.ece,National,"Mon, 29 Sep 2025 05:28:44 +0530"
96,7-year-old Class 2 student hung upside down by school bus driver in Panipat over ‘misbehaviour’; FIR filed,Hindu,https://www.thehindu.com/news/national/haryana/7-year-old-hung-upside-down-by-school-bus-driver-in-panipat-over-misbehaviour-fir-filed/article70105952.ece,National,"Mon, 29 Sep 2025 05:13:00 +0530"
97,Tea garden workers protest over bonus; management releases first instalment,Hindu,https://www.thehindu.com/news/national/west-bengal/tea-garden-workers-protest-over-bonus-management-releases-first-instalment/article70105486.ece,National,"Mon, 29 Sep 2025 04:32:06 +0530"
98,PM Modi meets Vice President Radhakrishnan,Hindu,https://www.thehindu.com/news/national/pm-modi-meets-vice-president-radhakrishnan/article70106410.ece,National,"Mon, 29 Sep 2025 04:12:22 +0530"
99,"Government aims to integrate Ayurveda into health education curriculum in schools, colleges: Minister",Hindu,https://www.thehindu.com/sci-tech/health/government-aims-to-integrate-ayurveda-into-health-education-curriculum-in-schools-colleges-minister/article70105509.ece,National,"Mon, 29 Sep 2025 03:38:40 +0530"
100,BCCI to lodge protest against Naqvi after Asia Cup trophy presentation fiasco,Hindu,https://www.thehindu.com/sport/cricket/bcci-to-lodge-protest-against-naqvi-after-asia-cup-trophy-presentation-fiasco/article70106715.ece,National,"Mon, 29 Sep 2025 03:12:11 +0530"
101,Durga Puja revellers flock early to pandals in West Bengal fearing rain,Hindu,https://www.thehindu.com/news/cities/kolkata/durga-puja-revellers-flock-early-to-pandals-in-wb-fearing-rain/article70106139.ece,National,"Mon, 29 Sep 2025 03:05:00 +0530"
102,There is still room for talks with Maoists: Chhattisgarh CM Vishnu Deo Sai,Hindu,https://www.thehindu.com/news/national/chhattisgarh/there-is-still-room-for-talks-with-maoists-chhattisgarh-cm-vishnu-deo-sai/article70102299.ece,National,"Mon, 29 Sep 2025 03:00:00 +0530"
103,The return of a diminished Azam Khan,Hindu,https://www.thehindu.com/opinion/op-ed/the-return-of-a-diminished-azam-khan/article70104590.ece,National,"Mon, 29 Sep 2025 02:43:14 +0530"
104,Asia Cup trophy not awarded to champions India after they refuse to accept it from ACC chief Mohsin Naqvi,Hindu,https://www.thehindu.com/sport/cricket/asia-cup-trophy-not-awarded-to-champions-india-after-they-refuse-to-accept-it-from-acc-chief-mohsin-naqvi/article70106569.ece,National,"Mon, 29 Sep 2025 02:01:44 +0530"
105,Haryana police personnel sustain injuries as mob attacks them during raid in Nuh; 13 held,Hindu,https://www.thehindu.com/news/national/haryana/haryana-police-personnel-sustain-injuries-as-mob-attacks-them-during-raid-in-nuh-13-held/article70105745.ece,National,"Mon, 29 Sep 2025 01:29:14 +0530"
