OrderID,OrderDate,CustomerID,ProductID,Quantity,Sales,Discount,Profit,Region,PaymentMode
O1036,2024-02-05,C016,P006,4,1200,0.1,200,North,UPI
O1037,2024-02-06,C017,P007,1,200,0.05,35,South,Credit Card
O1038,2024-02-07,C018,P008,3,650,0.0,120,East,COD
O1039,2024-02-08,C019,P009,2,700,0.0,140,West,Net Banking
O1040,2024-02-09,C020,P010,5,1500,0.15,260,Central,Debit Card
O1041,2024-02-10,C001,P001,1,250,0.0,40,North,UPI
O1042,2024-02-11,C002,P002,2,400,0.05,80,South,Credit Card
O1043,2024-02-12,C003,P003,3,900,0.1,180,East,COD
O1044,2024-02-13,C004,P004,1,300,0.0,50,West,Net Banking
O1045,2024-02-14,C005,P005,2,500,0.2,100,Central,Debit Card
O1046,2024-02-15,C006,P006,4,1200,0.1,200,North,UPI
O1047,2024-02-16,C007,P007,1,200,0.05,35,South,Credit Card
O1048,2024-02-17,C008,P008,3,650,0.0,120,East,COD
O1049,2024-02-18,C009,P009,2,700,0.0,140,West,Net Banking
O1050,2024-02-19,C010,P010,5,1500,0.15,260,Central,Debit Card
O1051,2024-02-20,C011,P001,1,250,0.0,40,North,UPI
O1052,2024-02-21,C012,P002,2,400,0.05,80,South,Credit Card
O1053,2024-02-22,C013,P003,3,900,0.1,180,East,COD
O1054,2024-02-23,C014,P004,1,300,0.0,50,West,Net Banking
O1055,2024-02-24,C015,P005,2,500,0.2,100,Central,Debit Card
O1056,2024-02-25,C016,P006,4,1200,0.1,200,North,UPI
O1057,2024-02-26,C017,P007,1,200,0.05,35,South,Credit Card
O1058,2024-02-27,C018,P008,3,650,0.0,120,East,COD
O1059,2024-02-28,C019,P009,2,700,0.0,140,West,Net Banking
O1060,2024-02-29,C020,P010,5,1500,0.15,260,Central,Debit Card
O1061,2024-03-01,C001,P001,1,250,0.0,40,North,UPI
O1062,2024-03-02,C002,P002,2,400,0.05,80,South,Credit Card
O1063,2024-03-03,C003,P003,3,900,0.1,180,East,COD
O1064,2024-03-04,C004,P004,1,300,0.0,50,West,Net Banking
O1065,2024-03-05,C005,P005,2,500,0.2,100,Central,Debit Card
O1066,2024-03-06,C006,P006,4,1200,0.1,200,North,UPI
O1067,2024-03-07,C007,P007,1,200,0.05,35,South,Credit Card
O1068,2024-03-08,C008,P008,3,650,0.0,120,East,COD
O1069,2024-03-09,C009,P009,2,700,0.0,140,West,Net Banking
O1070,2024-03-10,C010,P010,5,1500,0.15,260,Central,Debit Card
O1071,2024-03-11,C011,P001,1,250,0.0,40,North,UPI
O1072,2024-03-12,C012,P002,2,400,0.05,80,South,Credit Card
O1073,2024-03-13,C013,P003,3,900,0.1,180,East,COD
O1074,2024-03-14,C014,P004,1,300,0.0,50,West,Net Banking
O1075,2024-03-15,C015,P005,2,500,0.2,100,Central,Debit Card
O1076,2024-03-16,C016,P006,4,1200,0.1,200,North,UPI
O1077,2024-03-17,C017,P007,1,200,0.05,35,South,Credit Card
O1078,2024-03-18,C018,P008,3,650,0.0,120,East,COD
O1079,2024-03-19,C019,P009,2,700,0.0,140,West,Net Banking
O1080,2024-03-20,C020,P010,5,1500,0.15,260,Central,Debit Card
O1081,2024-03-21,C001,P001,1,250,0.0,40,North,UPI
O1082,2024-03-22,C002,P002,2,400,0.05,80,South,Credit Card
O1083,2024-03-23,C003,P003,3,900,0.1,180,East,COD
O1084,2024-03-24,C004,P004,1,300,0.0,50,West,Net Banking
O1085,2024-03-25,C005,P005,2,500,0.2,100,Central,Debit Card
O1086,2024-03-26,C006,P006,4,1200,0.1,200,North,UPI
O1087,2024-03-27,C007,P007,1,200,0.05,35,South,Credit Card
O1088,2024-03-28,C008,P008,3,650,0.0,120,East,COD
O1089,2024-03-29,C009,P009,2,700,0.0,140,West,Net Banking
O1090,2024-03-30,C010,P010,5,1500,0.15,260,Central,Debit Card
O1091,2024-03-31,C011,P001,1,250,0.0,40,North,UPI
O1092,2024-04-01,C012,P002,2,400,0.05,80,South,Credit Card
O1093,2024-04-02,C013,P003,3,900,0.1,180,East,COD
O1094,2024-04-03,C014,P004,1,300,0.0,50,West,Net Banking
O1095,2024-04-04,C015,P005,2,500,0.2,100,Central,Debit Card
O1096,2024-04-05,C016,P006,4,1200,0.1,200,North,UPI
O1097,2024-04-06,C017,P007,1,200,0.05,35,South,Credit Card
O1098,2024-04-07,C018,P008,3,650,0.0,120,East,COD
O1099,2024-04-08,C019,P009,2,700,0.0,140,West,Net Banking
O1100,2024-04-09,C020,P010,5,1500,0.15,260,Central,Debit Card
